"","clusterID","女性nǚ_xìng","妇女fù_nǚ","女人nǚ_rén","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,17,38,0,14,15,26,0.572892561983471,0.362644628099174,55
"2",2,0,23,0,3,17,3,1,0.580340264650283,23
"3",3,2,27,0,10,14,5,0.871581450653983,0.381688466111772,29
"4",4,54,2,0,22,15,19,0.931122448979592,0.341198979591837,56
"5",5,15,14,55,21,8,55,0.488378684807256,0.500283446712018,84
"6",6,11,32,0,16,10,17,0.619253650621958,0.348837209302326,43
"7",7,108,91,11,84,59,67,0.455011337868481,0.340725623582766,210
