"","clusterID","原则yuán_zé","准则zhǔn_zé","标准biāo_zhǔn","规范ɡuī_fàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,49,0,0,0,33,8,8,1,0.506872136609746,49
"2",2,97,8,2,7,34,53,27,0.732994767620806,0.361188057863958,114
"3",3,0,0,8,0,0,1,7,1,0.78125,8
"4",4,14,1,74,6,30,35,30,0.632576177285319,0.335180055401662,95
"5",5,0,0,11,2,4,6,3,0.739644970414201,0.36094674556213,13
"6",6,10,3,12,52,10,60,7,0.498735031202564,0.63231573621184,77
"7",7,22,7,90,25,56,65,23,0.446469907407407,0.380497685185185,144
