"","clusterID","准则zhǔn_zé","标准biāo_zhǔn","规范ɡuī_fàn","惯例ɡuàn_lì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,5,75,0,14,61,9,0.4141,0.7703,84
"2",2,0,18,4,1,6,10,7,0.6324,1.0747,23
"3",3,17,47,33,13,55,39,16,1.2655,0.9946,110
"4",4,0,12,0,0,5,7,0,0,0.6792,12
"5",5,1,55,17,0,18,44,11,0.6114,0.9356,73
"6",6,1,65,0,0,15,40,11,0.0785,0.9389,66
"7",7,0,6,0,0,2,2,2,0,1.0986,6
"8",8,11,92,12,11,41,45,40,0.8793,1.0973,126
