"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹑"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"“"	3	0	0	1.092	0.344	1.565	1.317	-0.159	-0.96	2.436	"1"
"”"	4	0	0	1.455	0.458	2.086	1.756	-0.211	-1.281	3.248	"1"
"《"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"》"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"⒈"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"1.5"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"1000万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"120万"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"150％"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"1983年"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"20万"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"21世纪"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"2300多万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"278万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"300万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"325万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"350万"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"450万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"57万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"60万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"891223"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"891224"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"891228"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"900115"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"900125"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"900129"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"95"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"A"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"DD"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"NQ"	0	0	1	0.364	0.115	0.522	-0.196	-0.053	0.283	0.532	"3"
"O"	0	0	3	1.092	0.344	1.565	-0.589	-0.159	0.848	1.596	"3"
"一○○万"	0	1	0	0.364	0.115	0.522	-0.196	0.941	-0.32	1.457	"2"
"一下"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
"一中"	1	0	0	0.364	0.115	0.522	0.439	-0.053	-0.32	0.812	"1"
