"","clusterID","数字shǔ_zì","数目shǔ_mù","数量shǔ_liánɡ","数额shǔ_é","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,23,0,0,0,2,9,12,1,0.43289224952741,23
"2",2,24,1,0,0,5,12,8,0.9232,0.3728,25
"3",3,28,0,0,0,10,8,10,1,0.336734693877551,28
"4",4,4,9,17,0,4,15,11,0.428888888888889,0.402222222222222,30
"5",5,20,33,43,29,33,45,47,0.267456,0.340672,125
"6",6,38,0,0,1,1,35,3,0.950032873109796,0.811965811965812,39
"7",7,37,13,8,5,11,22,30,0.409926933736458,0.379188712522046,63
"8",8,59,15,75,18,42,88,37,0.34619383986518,0.390010398364947,167
