"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"；"	0	2	3	2	1.407	1.593	-1.109	0.363	0.725	2.197	"1"
"："	0	43	7	20.003	14.071	15.926	-11.095	16.656	-2.474	30.225	"2"
"."	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"（"	4	22	8	13.602	9.568	10.83	-3.494	5.002	-0.705	9.201	"2"
"）"	4	21	7	12.802	9.005	10.193	-3.155	4.94	-0.815	8.91	"2"
"＊"	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"⊙"	0	2	0	0.8	0.563	0.637	-0.444	1.101	-0.333	1.878	"2"
"◆"	0	3	1	1.6	1.126	1.274	-0.888	1.153	-0.208	2.249	"2"
"00"	0	0	1	0.4	0.281	0.319	-0.222	-0.144	0.497	0.863	"3"
"006"	1	0	0	0.4	0.281	0.319	0.398	-0.144	-0.167	0.709	"1"
"01"	0	0	1	0.4	0.281	0.319	-0.222	-0.144	0.497	0.863	"3"
"10日"	0	2	1	1.2	0.844	0.956	-0.666	0.714	0.165	1.545	"2"
"10时"	0	28	5	13.202	9.287	10.511	-7.322	10.731	-1.597	19.65	"2"
"10月"	1	2	1	1.6	1.126	1.274	-0.323	0.501	-0.208	1.032	"2"
"10点"	0	1	2	1.2	0.844	0.956	-0.666	0.201	0.62	1.487	"1"
"11"	0	1	1	0.8	0.563	0.637	-0.444	0.315	0.271	1.03	"1"
"11日"	1	1	0	0.8	0.563	0.637	0.194	0.315	-0.333	0.842	"3"
"11时"	0	20	0	8.001	5.628	6.371	-4.438	11.013	-3.331	18.782	"2"
"11月"	0	2	0	0.8	0.563	0.637	-0.444	1.101	-0.333	1.878	"2"
"11点"	0	0	2	0.8	0.563	0.637	-0.444	-0.287	0.994	1.725	"3"
"11点钟"	0	0	1	0.4	0.281	0.319	-0.222	-0.144	0.497	0.863	"3"
"12日"	0	3	1	1.6	1.126	1.274	-0.888	1.153	-0.208	2.249	"2"
"12时"	0	4	0	1.6	1.126	1.274	-0.888	2.203	-0.666	3.757	"2"
"12点"	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"13日"	0	4	0	1.6	1.126	1.274	-0.888	2.203	-0.666	3.757	"2"
"14日"	0	4	1	2	1.407	1.593	-1.109	1.614	-0.309	3.032	"2"
"15分"	0	2	0	0.8	0.563	0.637	-0.444	1.101	-0.333	1.878	"2"
"15日"	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"16分"	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"16日"	0	0	1	0.4	0.281	0.319	-0.222	-0.144	0.497	0.863	"3"
"17日"	0	1	2	1.2	0.844	0.956	-0.666	0.201	0.62	1.487	"1"
"18日"	0	3	3	2.4	1.688	1.911	-1.331	0.654	0.537	2.522	"1"
"1日"	1	0	0	0.4	0.281	0.319	0.398	-0.144	-0.167	0.709	"1"
"1时"	0	1	0	0.4	0.281	0.319	-0.222	0.551	-0.167	0.94	"2"
"200周年"	1	0	0	0.4	0.281	0.319	0.398	-0.144	-0.167	0.709	"1"
