"","clusterID","房屋fánɡ_wū","大厦dà_shà","建物jiàn_wù","建筑jiàn_zhú","建筑物jiàn_zhú_wù","房子fánɡ_zǐ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,18,0,0,0,0,0,5,1,12,0,0.7867,18
"2",2,41,10,5,61,5,5,30,40,57,1.2994,1.0643,127
"3",3,2,1,0,57,2,1,9,34,20,0.4411,0.9751,63
"4",4,32,6,1,19,20,5,20,40,23,1.4603,1.0503,83
"5",5,10,19,2,24,13,7,17,27,31,1.6029,1.0694,75
"6",6,0,29,0,0,0,0,9,2,18,0,0.8436,29
"7",7,11,39,0,23,10,22,21,26,58,1.4882,0.9954,105
