"","clusterID","办法bàn_fǎ","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","方法fānɡ_fǎ","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,1,69,6,1,60,18,0,0.4733,0.5402,78
"2",2,0,4,0,33,0,6,13,18,0.3425,1.013,37
"3",3,9,8,1,4,4,13,6,7,1.4311,1.0382,26
"4",4,1,3,1,8,9,8,7,7,1.2862,1.0966,22
"5",5,14,22,14,64,25,65,37,37,1.4198,1.0601,139
"6",6,4,2,91,6,24,61,41,25,0.8722,1.0372,127
"7",7,0,0,11,7,0,0,0,18,0.6682,0,18
"8",8,28,0,12,12,1,16,3,34,1.0846,0.8089,53
