"","clusterID","夜晚yè_wǎn","夜间yè_jiān","晚上wǎn_shǎnɡ","晚间wǎn_jiān","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,1,89,110,164,10,29,0.4861,0.6755,203
"2",2,0,0,86,0,0,4,82,1,0.9113,86
"3",3,19,41,139,12,38,63,110,0.4831,0.3934,211
