"","clusterID","汽车ɡài_chē","车子chē_zǐ","车辆chē_liànɡ","机动车jī_dònɡ_chē","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,168,1,4,0,30,100,43,0.1454,0.9667,173
"2",2,46,8,5,0,6,32,21,0.6741,0.932,59
"3",3,131,32,98,7,45,133,90,1.0667,1.0138,268
