"","clusterID","工艺ɡōnɡ_yì","手艺shǒu_yì","技巧jì_qiǎo","技艺jì_yì","手工艺shǒu_ɡōnɡ_yì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,4,61,12,0,22,13,45,0.7642,0.9739,80
"2",2,3,26,60,8,0,23,22,52,0.9633,1.012,97
"3",3,69,5,6,27,8,30,65,20,1.1225,0.9772,115
"4",4,7,2,36,3,3,17,11,23,0.9788,1.0562,51
"5",5,1,1,4,7,0,1,10,2,1.0906,0.6871,13
"6",6,14,0,0,0,0,0,0,14,0,0,14
"7",7,70,0,0,0,0,2,65,3,0,0.3054,70
"8",8,15,0,0,0,0,0,0,15,0,0,15
"9",9,38,0,3,1,3,13,26,6,0.5884,0.9443,45
