"","clusterID","原料yuán_liáo","因素yīn_sù","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","用料yòng_liáo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,38,3,8,31,62,0,35,68,39,1.2904,1.0527,142
"2",2,0,188,4,2,1,1,69,67,60,0.22,1.0968,196
"3",3,4,106,3,11,35,3,37,63,62,1.0303,1.0721,162
