"","clusterID","层次cénɡ_cí","层级cénɡ_jí","水平shuǐ_bēnɡ","程度chénɡ_dù","等级děnɡ_jí","级别jí_bié","度数dù_shǔ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,1,47,4,3,4,0,4,44,18,0.528,0.5225,66
"2",2,1,0,53,1,2,0,0,2,52,3,0.8664,0.8363,57
"3",3,20,9,180,131,18,18,1,64,194,119,0.3567,0.3933,377
