"","clusterID","损失sǔn_shī","损害sǔn_hài","危害wēi_hài","伤害shānɡ_hài","损伤sǔn_shānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,17,1,0,0,0,6,4,8,0.2146,1.0609,18
"2",2,10,7,0,0,0,4,7,6,0.6775,1.0734,17
"3",3,99,0,2,0,0,37,40,24,0.0973,1.0762,101
"4",4,49,33,65,65,20,67,107,58,1.5301,1.0622,232
"5",5,18,2,1,11,0,14,14,4,0.9723,0.9833,32
"6",6,18,2,3,6,1,7,13,10,1.1526,1.0681,30
"7",7,23,17,7,19,4,26,34,10,1.4572,0.9966,70
