"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"SumAbsDev"	"LargestDev"
"﹑"	0	0	0	1	0	0	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	-0.026	-0.041	-0.015	0.719	-0.007	-0.058	-0.084	-0.054	-0.052	-0.035	1.091	"4"
";"	0	2	2	2	0	0	0	0	0	0	0.355	0.547	0.201	1.147	0.103	0.75	1.058	0.701	0.681	0.46	-0.159	1.012	1.814	0.491	-0.045	-0.348	-0.505	-0.324	-0.314	-0.208	5.22	"3"
"）"	1	3	0	2	0	3	0	0	0	0	0.532	0.82	0.301	1.72	0.154	1.125	1.586	1.051	1.021	0.689	0.374	1.379	-0.133	0.27	-0.067	1.037	-0.758	-0.485	-0.471	-0.312	5.286	"2"
"》"	0	0	0	2	0	0	1	7	11	0	1.242	1.913	0.703	4.014	0.359	2.624	3.702	2.452	2.382	1.609	-0.556	-0.871	-0.31	-0.687	-0.157	-1.217	-1.029	2.11	5.326	-0.727	12.99	"9"
"%"	0	7	0	1	0	0	0	0	0	0	0.473	0.729	0.268	1.529	0.137	1	1.41	0.934	0.907	0.613	-0.212	6.416	-0.118	-0.276	-0.06	-0.464	-0.674	-0.431	-0.418	-0.277	9.346	"2"
"$"	0	0	0	0	0	1	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	-0.026	-0.041	-0.015	-0.092	-0.007	0.903	-0.084	-0.054	-0.052	-0.035	1.309	"6"
"0121"	1	0	0	0	0	0	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	1.228	-0.041	-0.015	-0.092	-0.007	-0.058	-0.084	-0.054	-0.052	-0.035	1.666	"1"
"1.3"	1	0	0	0	0	0	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	1.228	-0.041	-0.015	-0.092	-0.007	-0.058	-0.084	-0.054	-0.052	-0.035	1.666	"1"
"10.2"	0	1	0	0	0	0	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	-0.026	1.04	-0.015	-0.092	-0.007	-0.058	-0.084	-0.054	-0.052	-0.035	1.463	"2"
"1140亿"	0	1	0	0	0	0	0	0	0	0	0.059	0.091	0.033	0.191	0.017	0.125	0.176	0.117	0.113	0.077	-0.026	1.04	-0.015	-0.092	-0.007	-0.058	-0.084	-0.054	-0.052	-0.035	1.463	"2"
