"","clusterID","官司ɡuān_cí","案件àn_jiàn","讼案sòng_àn","诉讼案sù_sòng_àn","控告kōnɡ_ɡào","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,14,88,3,9,0,30,51,33,0.7535,1.07,114
"2",2,3,61,0,1,0,2,37,26,0.2658,0.7944,65
"3",3,38,276,0,5,2,104,139,78,0.4789,1.0713,321
