"","clusterID","途径tú_jìnɡ","路线lù_xiàn","道路dǎo_lù","路径lù_jìnɡ","轨道ɡuǐ_dǎo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,53,0,0,0,0,10,34,9,1,0.475970096119615,53
"2",2,0,8,10,0,0,6,8,4,0.506172839506173,0.358024691358025,18
"3",3,23,32,21,2,3,29,21,31,0.305898491083676,0.341868617588782,81
"4",4,60,20,36,0,19,26,84,25,0.31039780521262,0.458545953360768,135
"5",5,0,0,0,0,32,6,24,2,1,0.6015625,32
"6",6,2,9,15,0,0,4,13,9,0.458579881656805,0.393491124260355,26
"7",7,0,16,11,0,9,9,7,20,0.353395061728395,0.408950617283951,36
"8",8,2,14,89,4,10,53,50,16,0.581667961302168,0.392980721700445,119
