"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"SumAbsDev"	"LargestDev"
"2万"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"2万多"	0	2	0	0	0	0	0	0	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	1.847	-0.054	-0.016	-0.055	-0.129	-0.062	-0.05	-0.015	-0.174	2.686	"2"
"2小时"	0	0	0	0	0	0	1	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	1.159	-0.025	-0.007	-0.087	1.602	"7"
"3"	26	1	0	0	0	0	0	0	0	0	7.529	3.221	1.639	0.487	1.663	3.716	1.874	1.509	0.454	4.908	13.125	-0.821	-0.734	-0.213	-0.746	-1.736	-0.844	-0.674	-0.199	-2.353	21.445	"1"
"3000余"	0	1	0	0	0	0	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	0.923	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	-0.087	1.342	"2"
"300余"	0	0	0	0	0	1	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	0.861	-0.031	-0.025	-0.007	-0.087	1.271	"6"
"306"	0	0	0	0	0	1	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	0.861	-0.031	-0.025	-0.007	-0.087	1.271	"6"
"30万"	0	0	0	0	0	0	2	0	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	-0.129	2.317	-0.05	-0.015	-0.174	3.204	"7"
"4845"	0	1	0	0	0	0	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	0.923	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	-0.087	1.342	"2"
"50"	0	0	0	0	0	0	1	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	1.159	-0.025	-0.007	-0.087	1.602	"7"
