"","clusterID","指挥zhī_huī","领队lǐnɡ_duì","导演dǎo_yǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,17,0,0,17,0,0,0,0,17
"2",2,48,0,0,19,19,10,0,1.0605,48
"3",3,90,0,0,18,64,8,0,0.7795,90
"4",4,0,115,0,4,10,101,0,0.4432,115
"5",5,0,2,138,64,9,67,0.0749,0.8869,140
"6",6,31,0,0,8,5,18,0,0.9595,31
"7",7,15,24,20,18,13,28,1.0808,1.0492,59
