"","clusterID","丈夫zhànɡ_fū","先生xiān_shēnɡ","老公lǎo_ɡōnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,171,22,18,21,25,165,0.6161,0.6747,211
"2",2,0,11,0,7,4,0,0,0.6555,11
"3",3,8,100,3,30,41,40,0.3812,1.0893,111
"4",4,0,21,0,3,2,16,0,0.7091,21
"5",5,0,10,0,1,1,8,0,0.639,10
"6",6,13,93,1,17,31,59,0.4217,0.9794,107
"7",7,0,29,0,1,4,24,0,0.546,29
