"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,94,4,11,77,10,0.1705,0.6679,98
"2",2,202,200,114,146,142,0.6931,1.0928,402
