"","clusterID","领域lǐnɡ_yù","学科xué_kē","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,157,0,7,141,9,0,0.3991,157
"2",2,71,2,14,47,12,0.1256,0.897,73
"3",3,94,1,15,43,37,0.0584,1.0175,95
"4",4,40,2,5,29,8,0.1914,0.8249,42
"5",5,73,8,11,59,11,0.3224,0.7731,81
"6",6,0,11,10,0,1,0,0.3046,11
"7",7,19,22,8,23,10,0.6905,0.9873,41
