"","clusterID","寿命shòu_mìnɡ","年纪nián_jǐ","年龄nián_línɡ","年岁nián_suì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,17,130,0,42,35,71,0.3962,1.0508,148
"2",2,12,2,46,0,25,21,14,0.639,1.0718,60
"3",3,3,50,33,0,16,24,46,0.7999,1.0037,86
"4",4,0,0,11,0,4,4,3,0,1.0901,11
"5",5,2,28,81,3,25,26,63,0.7543,0.9976,114
"6",6,13,0,0,0,5,3,5,0,1.0734,13
"7",7,21,2,43,2,13,30,25,0.8601,1.0452,68
