"","clusterID","人民rén_mín","公民ɡōnɡ_mín","国人ɡuó_rén","国民ɡuó_mín","市民fú_mín","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,211,6,5,15,4,48,150,43,0.7717,0.4589,241
"2",2,55,28,46,20,69,63,78,77,0.2333,0.3363,218
"3",3,20,0,0,0,0,0,20,0,1,1,20
"4",4,21,0,0,0,0,1,20,0,1,0.9093,21
