"","clusterID","兄弟kuànɡ_dì","哥哥ɡē_ɡē","弟弟dì_dì","亲兄弟qīn_kuànɡ_dì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,5,59,6,0,2,4,64,0.5432,0.3471,70
"2",2,0,9,18,0,2,3,22,0.6365,0.6038,27
"3",3,16,124,67,1,17,24,167,0.8962,0.6301,208
"4",4,20,0,0,0,1,6,13,0,0.791,20
"5",5,131,11,31,2,49,49,77,0.7484,1.0741,175
