"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"附上"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"陆交局"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"陈丽丝"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"陈伯汉"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"陈忠和"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"限"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"除夕"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"陪伴"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"随着"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"隔"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"难免"	3	0	0	0	1.272	0.555	0.311	0.862	1.118	-0.266	-0.142	-0.442	1.968	"1"
"难得"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"难忘"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"难熬"	3	0	0	0	1.272	0.555	0.311	0.862	1.118	-0.266	-0.142	-0.442	1.968	"1"
"难过"	3	0	0	0	1.272	0.555	0.311	0.862	1.118	-0.266	-0.142	-0.442	1.968	"1"
"雇主"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"雪岳山"	0	2	0	0	0.848	0.37	0.207	0.575	-0.479	1.466	-0.095	-0.294	2.334	"2"
"零售商"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"雷家"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"雷锋"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"静"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"静静"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"非常"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"面对"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"音乐"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"音乐会"	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"音乐厅"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"音讯"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"顺序"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"颁奖"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"预定"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"预测"	0	0	1	1	0.848	0.37	0.207	0.575	-0.479	-0.178	0.707	0.308	1.672	"3"
"颠倒"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"风光"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"飘香"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"餐"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"首日"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
