"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"Low"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"MixEffects"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"NBA"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"QFII"	0	0	0	0	0	2	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	-0.146	1.115	1.847	"6"
"Rimba"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"SuperNight"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"一"	0	3	0	0	1	0	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	0.792	-0.109	-0.055	0.311	-0.563	1.999	"2"
"一九九九年"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"一体"	0	0	0	0	0	2	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	-0.146	1.115	1.847	"6"
"一向"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"一国两制"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"一时"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"一绝"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"一致"	0	0	0	0	0	2	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	-0.146	1.115	1.847	"6"
"一般"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"万一"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"三八"	1	0	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	1.033	-0.211	-0.027	-0.014	-0.073	-0.141	1.499	"1"
"三军"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"三时"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"三来"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"三维"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"上攻"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"上海人"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"上海市"	0	1	0	0	0	1	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.207	-0.054	-0.027	-0.146	0.321	0.839	"6"
"下一代"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"不久"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"不同"	0	1	0	0	3	4	0.742	3.075	0.485	0.247	1.236	2.216	-0.338	-0.907	-0.217	-0.109	0.947	0.811	3.329	"5"
"不少"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"不要"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"不过"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"与会"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"专业"	0	0	0	0	0	2	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	-0.146	1.115	1.847	"6"
"专利权"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"世俗"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"世界"	0	3	0	0	0	3	0.556	2.306	0.364	0.185	0.927	1.662	-0.253	0.373	-0.163	-0.082	-0.437	0.669	1.977	"6"
"业务"	0	0	0	0	0	6	0.556	2.306	0.364	0.185	0.927	1.662	-0.253	-1.264	-0.163	-0.082	-0.437	3.346	5.545	"6"
"东"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"东亚"	0	0	2	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	2.434	-0.027	-0.146	-0.282	3.394	"3"
"东欧"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"两岸"	0	0	0	0	1	7	0.742	3.075	0.485	0.247	1.236	2.216	-0.338	-1.685	-0.217	-0.109	-0.192	3.121	5.662	"6"
"严惩"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"个"	0	6	0	0	0	0	0.556	2.306	0.364	0.185	0.927	1.662	-0.253	2.492	-0.163	-0.082	-0.437	-0.845	4.272	"2"
"中东"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"中和"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"中国"	0	0	1	0	0	3	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	-0.843	0.655	-0.055	-0.292	1.172	3.186	"6"
"中国城"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"中国家"	0	0	1	2	0	1	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	-0.843	0.655	2.26	-0.292	-0.16	4.379	"4"
"中央社"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"中新社"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"中泰"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"中美"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"为"	0	15	0	0	0	0	1.39	5.765	0.91	0.463	2.317	4.154	-0.634	6.23	-0.408	-0.204	-1.093	-2.112	10.681	"2"
"为主"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"为了"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"为什么"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"为学"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"为数"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"为时"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"主"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"主义"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"主体"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"主动性"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"主导"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"主流"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"主簿官"	0	4	0	0	0	0	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	1.661	-0.109	-0.055	-0.292	-0.563	2.849	"2"
"主要"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"主观"	0	0	0	1	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	1.51	-0.073	-0.141	2.004	"4"
"乃"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"义"	0	0	0	0	1	1	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	0.545	0.321	1.452	"5"
"义消"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"之"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"乌拉圭"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"乌盟"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"乒乓球"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"乖巧"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"九七"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"习"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"习惯"	0	0	1	0	1	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	0.929	-0.027	0.545	-0.282	2.288	"3"
"乡镇市"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"乡陈"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
