"","clusterID","基金jī_jīn","资金zī_jīn","经费jīnɡ_fèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,25,1,0,22,1,3,0.163,0.5158,26
"2",2,15,0,0,3,12,0,0,0.5004,15
"3",3,47,63,2,51,28,33,0.7599,1.0648,112
"4",4,9,0,0,1,0,8,0,0.3488,9
"5",5,26,1,0,8,10,9,0.1584,1.0945,27
"6",6,14,0,0,3,0,11,0,0.5196,14
"7",7,15,54,22,29,41,21,0.9501,1.062,91
"8",8,1,2,28,26,3,2,0.3795,0.5504,31
"9",9,0,13,0,0,10,3,0,0.5402,13
"10",10,52,70,40,63,67,32,1.0727,1.0528,162
