"","clusterID","数字shǔ_zì","数目shǔ_mù","数量shǔ_liánɡ","数额shǔ_é","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,23,0,0,0,2,9,12,0,0.919,23
"2",2,24,1,0,0,5,12,8,0.1679,1.0388,25
"3",3,28,0,0,0,10,8,10,0,1.0934,28
"4",4,4,9,17,0,4,15,11,0.9517,0.9831,30
"5",5,20,33,43,29,33,45,47,1.3509,1.0872,125
"6",6,38,0,0,1,1,35,3,0.1192,0.3884,39
"7",7,37,13,8,5,11,22,30,1.1014,1.0254,63
"8",8,59,15,75,18,42,88,37,1.1837,1.0186,167
