"","clusterID","宣传xuān_chuán","广告ān_ɡào","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,133,6,13,108,18,0.1779,0.6824,139
"2",2,18,0,2,10,6,0,0.9369,18
"3",3,11,8,3,7,9,0.6806,1.0133,19
"4",4,71,98,42,50,77,0.6803,1.0645,169
"5",5,32,0,20,1,11,0,0.7691,32
"6",6,21,51,25,10,37,0.6036,0.9836,72
"7",7,7,21,12,5,11,0.5623,1.0378,28
"8",8,0,23,9,1,13,0,0.826,23
