"","clusterID","工作ɡōnɡ_zuō","职业zhí_yè","职务zhí_wù","行业hánɡ_yè","ML","TW","SG","variant_I","lect_I","TotalFreq"
"1",1,45,0,0,0,45,0,0,1,1,45
"2",2,161,4,2,3,167,3,0,0.897923875432526,0.965328719723183,170
"3",3,27,0,0,0,27,0,0,1,1,27
"4",4,12,1,0,56,61,1,7,0.689140936777988,0.792060491493384,69
"5",5,90,16,16,23,120,10,15,0.434768133174792,0.700356718192628,145
"6",6,0,14,30,0,20,15,9,0.566115702479339,0.364669421487603,44
