"","clusterID","前景jiǎn_jǐnɡ","期望jī_wànɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,65,145,73,64,73,0.6187,1.0967,210
"2",2,30,0,2,27,1,0,0.3887,30
"3",3,33,0,10,14,9,0,1.0799,33
"4",4,24,0,4,17,3,0,0.8028,24
"5",5,179,24,53,86,64,0.3634,1.0784,203
