"","clusterID","姿态zī_tài","态度tài_dù","立场lì_chánɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,15,158,79,66,30,0.3539,1.0291,175
"2",2,0,29,2,12,9,10,0.2392,1.0914,31
"3",3,2,8,5,3,0,12,0.9701,0.5004,15
"4",4,0,12,3,0,7,8,0.5004,0.6909,15
"5",5,0,0,10,4,0,6,0,0.673,10
"6",6,8,101,36,61,27,57,0.7576,1.0443,145
"7",7,10,37,0,14,17,16,0.5176,1.0954,47
"8",8,0,8,0,1,1,6,0,0.7356,8
"9",9,8,32,14,18,8,28,0.9429,0.9897,54
