"","clusterID","知识zhī_shí","学识xué_shí","学问xué_wèn","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,18,0,0,17,1,0,1,0.895061728395062,18
"2",2,42,0,0,41,1,0,1,0.953514739229025,42
"3",3,84,1,24,28,60,21,0.642454338860365,0.406110596751115,109
"4",4,60,0,0,22,10,28,1,0.38,60
"5",5,22,0,0,12,6,4,1,0.40495867768595,22
"6",6,27,0,0,11,7,9,1,0.344307270233196,27
"7",7,210,10,2,115,71,36,0.896923950978005,0.396923950978005,222
