"","clusterID","力量lì_liánɡ","势力shì_lì","影响力yǐng_xiǎnɡ_lì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,100,40,64,58,62,84,1.0326,1.0849,204
"2",2,159,3,9,52,78,41,0.2936,1.0625,171
"3",3,25,1,0,2,21,3,0.163,0.619,26
"4",4,26,72,1,21,47,31,0.6292,1.0462,99
