"","clusterID","官司ɡuān_cí","案件àn_jiàn","讼案sòng_àn","诉讼案sù_sòng_àn","控告kōnɡ_ɡào","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,11,44,3,8,0,21,18,27,0.488980716253444,0.34297520661157,66
"2",2,3,44,0,1,0,9,33,6,0.844618055555555,0.5234375,48
"3",3,3,61,0,1,0,2,37,26,0.883076923076923,0.484970414201183,65
"4",4,36,49,0,3,2,31,27,32,0.458024691358025,0.335061728395062,90
"5",5,0,19,0,1,0,10,9,1,0.905,0.455,20
"6",6,0,38,0,0,0,5,32,1,1,0.727146814404432,38
"7",7,1,100,0,1,0,29,38,35,0.961361014994233,0.337370242214533,102
"8",8,0,19,0,0,0,4,15,0,1,0.667590027700831,19
"9",9,1,51,0,0,0,25,18,9,0.962278106508876,0.380917159763314,52
