"","clusterID","形势xíng_shì","情况qíng_kuànɡ","情形qíng_xíng","状态zhuànɡ_tài","事态shì_tài","势头shì_tóu","局势jú_shì","局面jú_miàn","态势tài_shì","情势qíng_shì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,58,2,0,0,0,0,0,0,0,20,15,26,0.905401773716743,0.349637194302607,61
"2",2,0,0,0,11,0,0,0,0,0,0,4,4,3,1,0.338842975206612,11
"3",3,36,24,0,8,1,14,22,15,9,13,32,80,30,0.153342590755802,0.412814917675065,142
"4",4,1,42,19,23,0,0,2,12,1,0,29,40,31,0.2804,0.3402,100
"5",5,16,83,20,4,1,0,7,2,2,9,50,65,29,0.37133487654321,0.364872685185185,144
"6",6,0,9,4,0,0,0,0,0,0,0,4,3,6,0.57396449704142,0.36094674556213,13
"7",7,1,18,3,0,1,0,0,6,0,0,4,9,16,0.441141498216409,0.41973840665874,29
