"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
""	5	6	0	3.291	5.79	1.919	0.681	0.243	-0.916	1.84	"3"
"."	2	40	0	12.566	22.107	7.328	-4.239	8.84	-3.497	16.576	"2"
"0"	0	3	0	0.898	1.579	0.523	-0.463	0.836	-0.25	1.549	"2"
"101"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"110"	0	2	0	0.598	1.053	0.349	-0.309	0.557	-0.167	1.033	"2"
"115"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"117"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"142"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"145"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"1500多"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"150多"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"17分"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"1万"	1	0	1	0.598	1.053	0.349	0.293	-0.649	0.497	1.439	"2"
"1分"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"200"	0	2	0	0.598	1.053	0.349	-0.309	0.557	-0.167	1.033	"2"
"2000年"	2	0	0	0.598	1.053	0.349	1.048	-0.649	-0.167	1.864	"1"
"2002年度"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"201"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"21.5"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"210"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"268"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"287"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"3"	0	8	3	3.291	5.79	1.919	-1.698	0.821	0.525	3.044	"1"
"300多"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"306"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"3300多"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"333"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"34"	1	0	1	0.598	1.053	0.349	0.293	-0.649	0.497	1.439	"2"
"35"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"350多"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"38"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"3分球"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"4"	1	11	4	4.787	8.422	2.792	-1.577	0.827	0.522	2.926	"1"
"400"	0	2	2	1.197	2.105	0.698	-0.618	-0.189	0.845	1.652	"3"
"400多"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"48"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"500"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"5000多"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"55"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"700"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"7000"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"70余"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"72"	0	1	1	0.598	1.053	0.349	-0.309	-0.141	0.497	0.947	"3"
"73"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"7秒"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"8"	1	5	3	2.693	4.737	1.57	-0.705	0.248	0.706	1.659	"3"
"800"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"891020"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"891026"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"BF"	0	0	1	0.299	0.526	0.174	-0.154	-0.325	0.758	1.237	"3"
"CBA"	1	0	0	0.299	0.526	0.174	0.524	-0.325	-0.083	0.932	"1"
"Kari"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
"Mayet"	0	1	0	0.299	0.526	0.174	-0.154	0.279	-0.083	0.516	"2"
