"","clusterID","期间jī_jiān","时代shí_dài","时期shí_jī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,33,0,0,13,14,6,0,1.0407,33
"2",2,106,6,1,44,38,31,0.2577,1.0886,113
"3",3,17,0,0,9,6,2,0,0.956,17
"4",4,0,51,33,21,42,21,0.67,1.0397,84
"5",5,16,0,10,1,14,11,0.6663,0.8226,26
"6",6,18,0,2,3,17,0,0.3251,0.4227,20
"7",7,0,13,15,5,17,6,0.6906,0.9407,28
"8",8,73,47,59,58,57,64,1.0827,1.0973,179
