"","clusterID","裁判cái_pàn","评价pín_jià","判断pàn_duàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,109,0,0,4,56,49,0,0.8229,109
"2",2,0,46,0,3,36,7,0,0.6564,46
"3",3,0,5,28,4,15,14,0.4253,0.9779,33
"4",4,40,66,118,62,82,80,1.0053,1.0911,224
"5",5,0,25,12,8,23,6,0.6301,0.9217,37
"6",6,0,22,0,0,21,1,0,0.1849,22
"7",7,1,28,0,10,12,7,0.15,1.0754,29
