"","clusterID","公务员ɡōnɡ_wù_yuán","官员ɡuān_yuán","职员zhí_yuán","公务人员ɡōnɡ_wù_rén_yuán","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,24,45,0,14,8,50,0.503472222222222,0.532407407407407,72
"2",2,42,65,13,15,80,25,30,0.350233196159122,0.434842249657064,135
"3",3,0,21,0,0,5,9,7,1,0.351473922902494,21
"4",4,0,102,2,0,46,38,20,0.962278106508876,0.36612426035503,104
"5",5,2,23,0,0,7,14,4,0.8528,0.4176,25
"6",6,0,55,0,0,13,25,17,1,0.35801652892562,55
"7",7,0,88,0,0,45,32,11,1,0.409349173553719,88
