"","clusterID","地位de_lì","身份juān_bīn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,91,44,22,26,0.06,1.052,92
"2",2,37,20,15,11,31,0.648,1,57
"3",3,8,56,29,13,22,0.3768,1.0495,64
"4",4,0,36,7,15,14,0,1.0505,36
"5",5,16,0,3,10,3,0,0.9215,16
"6",6,113,31,48,47,49,0.5209,1.0985,144
"7",7,15,0,0,11,4,0,0.5799,15
"8",8,75,1,20,38,18,0.0701,1.039,76
