"","clusterID","建物jiàn_wù","建筑jiàn_zhú","建筑物jiàn_zhú_wù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,93,9,17,50,36,0.3502,1.0156,103
"2",2,0,38,2,4,16,20,0.1985,0.9433,40
"3",3,0,35,0,2,19,14,0,0.8617,35
"4",4,1,39,18,15,25,18,0.7,1.0756,58
"5",5,13,99,23,56,36,43,0.7543,1.0819,135
"6",6,0,89,40,26,59,44,0.6192,1.0475,129
