"","clusterID","设施shè_shī","设备shè_bèi","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,73,0,1,57,15,1,0.6521,73
"2",2,205,222,122,203,102,0.5008,0.3647,427
