"","clusterID","公路ɡōnɡ_lù","道路dǎo_lù","街路jiē_lù","街道jiē_dǎo","路径lù_jìnɡ","路线lù_xiàn","马路mǎ_lù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,81,1,0,0,0,0,0,5,61,16,0.0659,0.7095,82
"2",2,74,51,1,37,2,34,21,61,82,77,1.5852,1.091,220
"3",3,2,7,0,3,0,5,2,5,8,6,1.4846,1.0795,19
"4",4,48,20,0,0,0,0,0,9,52,7,0.6058,0.7068,68
"5",5,0,5,0,0,0,14,0,4,3,12,0.5763,0.9097,19
"6",6,15,45,0,2,2,27,1,26,46,20,1.2209,1.0355,92
