"","clusterID","传统chuán_tǒng","习俗xí_sú","习惯xí_ɡuàn","惯例ɡuàn_lì","民俗mín_sú","风俗fēnɡ_sú","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,46,0,0,0,0,0,35,10,1,1,0.626654064272212,46
"2",2,158,5,78,30,2,3,86,94,96,0.419896030245747,0.334068473009872,276
"3",3,22,0,0,0,0,0,1,20,1,1,0.830578512396694,22
"4",4,112,11,3,0,27,3,51,66,39,0.55111768573307,0.348372781065089,156
