"","clusterID","公安ɡōnɡ_ān","警察jǐnɡ_chá","警方jǐnɡ_fānɡ","员警yuán_jǐnɡ","警员jǐnɡ_yuán","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,2,14,0,0,4,4,10,0.62962962962963,0.407407407407407,18
"2",2,2,6,103,3,3,51,25,41,0.77923880487983,0.358462999488641,117
"3",3,0,0,26,0,0,12,1,13,1,0.464497041420118,26
"4",4,3,21,134,5,11,61,28,85,0.612762584225129,0.387435592548553,174
"5",5,39,14,6,6,3,23,34,11,0.388840830449827,0.390570934256055,68
"6",6,3,21,25,0,1,18,10,22,0.4304,0.3632,50
"7",7,4,31,11,0,1,14,18,15,0.497510185604346,0.337256677229516,47
