"","clusterID","品质pǐn_zhì","素质sù_zhì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,16,36,11,26,15,0.6172,1.0338,52
"2",2,4,93,5,76,16,0.1719,0.6413,97
"3",3,46,77,41,44,38,0.661,1.0968,123
"4",4,126,35,86,24,51,0.5236,0.9828,161
"5",5,18,6,19,1,4,0.5623,0.616,24
"6",6,25,18,18,3,22,0.6798,0.8932,43
