"","clusterID","冲突chōnɡ_tū","战争zhàn_zhēnɡ","争端zhēnɡ_duān","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,110,0,13,79,19,0.982144306468631,0.549549549549549,111
"2",2,86,0,2,22,55,11,0.955578512396694,0.46875,88
"3",3,0,15,0,4,2,9,1,0.448888888888889,15
"4",4,58,119,19,44,80,72,0.465587255310287,0.351936693044565,196
"5",5,24,3,0,11,9,7,0.802469135802469,0.344307270233196,27
"6",6,0,19,0,2,9,8,1,0.412742382271468,19
"7",7,28,16,0,5,29,10,0.537190082644628,0.49896694214876,44
