"","clusterID","少年shǎo_nián","青少年jīnɡ_shǎo_nián","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,43,20,28,17,0.64,1.0762,65
"2",2,25,10,7,24,4,0.5983,0.8285,35
"3",3,14,17,9,7,15,0.6885,1.0463,31
"4",4,56,1,30,8,19,0.0883,0.9796,57
"5",5,19,144,52,69,42,0.36,1.0778,163
"6",6,1,20,4,12,5,0.1914,0.9773,21
"7",7,2,13,7,5,3,0.3927,1.0438,15
"8",8,15,0,0,1,14,0,0.2449,15
"9",9,44,54,42,21,35,0.6879,1.0609,98
