"","clusterID","导弹dǎo_dàn","飞弹fēi_dàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,66,56,62,31,29,0.6898,1.0336,122
"2",2,49,47,47,13,36,0.6929,0.9882,96
"3",3,52,6,9,27,22,0.3326,1.0128,58
"4",4,32,10,11,17,14,0.5489,1.0832,42
"5",5,119,63,68,62,52,0.645,1.0926,182
