,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
犯规/V/XIN_CMN_19980613_wpr/12980,犯规/V/XIN_CMN_19980613_wpr/12980,犯规,XIN,Mainland,quality,前/N;比赛/N;失去/V;成绩/N;决赛/N;取消/V,"""<small>李艳凤 公认 是 有 劲儿 正 处 使 的 队员</small> 之 一 。 <u>前</u><sup>1.135</sup> 几 轮 <u>比赛</u><sup>2.403</sup> 中 , 李艳凤 <span class='target'>犯规</span> <u>取消</u><sup>2.86</sup> 了 <u>成绩</u><sup>1.769</sup> , <u>失去</u><sup>2.578</sup> 了 进入 <u>决赛</u><sup>2.162</sup> 的 资 <small>格 。 , 排 名次赛 中 , 这 个 憋足</small>""",5.80620819003792,-2.09359005747081,NA,NA
犯规/N/CNA_CMN_20000121_wpr/113995,犯规/N/CNA_CMN_20000121_wpr/113995,犯规,CNA,Taiwan,quality,发球/N;场/N;后来/N;追/V,"""<small>慢慢 追上 六 平 之后 开始 超前 , 印尼 选手</small> 受到 <u>场</u><sup>2.487</sup> 边 加油 影响 , 以及 副审 抓 <u>发球</u><sup>4.415</sup> <span class='target'>犯规</span> 影响 , 打球 的 稳定度 开始 动摇 , <u>后来</u><sup>1.634</sup> <u>追</u><sup>2.681</sup> <small>分 追 得 够 紧 , 第一 局 十一 十五</small>""",1.52413157957424,1.41538582591185,NA,NA
犯规/N/CNA_CMN_20041225_wpr/89644,犯规/N/CNA_CMN_20041225_wpr/89644,犯规,CNA,Taiwan,quality,的/N;连/C;最后/N;双方/N;球员/N;随后/N;场/N,"""<small>活塞 , 双方 第四 节 终了 前 四十五 秒 胜负</small> , 熘马 <u>的</u><sup>1.255</sup> 亚泰斯 着 准备 灌 篮 的 班华勒斯 <span class='target'>犯规</span> , <u>随后</u><sup>1.162</sup> <u>双方</u><sup>1.826</sup> <u>球员</u><sup>3.868</sup> 拉扯 , <u>最后</u><sup>2.364</sup> <u>连</u><sup>1.462</sup> <u>场</u><sup>2.487</sup> 边 <small>球迷 加入 战局 , 形成 一 片 混乱 。 联盟</small>""",2.53361450234777,-0.477338094881931,NA,NA
犯规/V/XIN_CMN_20040504_wpr/59599,犯规/V/XIN_CMN_20040504_wpr/59599,犯规,XIN,Mainland,quality,分钟/N;号/N;亚队/N;4/N;锋/N;黄牌/N;累计/V;两/N;罚下/V;在场/V;张/N;红牌/N,"""<small>一 名 后卫 队员 上场 , 换下 了 一 名</small> <u>锋</u><sup>2.795</sup> 。 第70 <u>分钟</u><sup>4.099</sup> , 拉科鲁尼 <u>亚队</u><sup>3.045</sup> <u>4</u><sup>1.694</sup> <u>号</u><sup>2.504</sup> 奈贝特 <span class='target'>犯规</span> , <u>累计</u><sup>2.238</sup> <u>两</u><sup>1.401</sup> <u>张</u><sup>1.344</sup> <u>黄牌</u><sup>5.827</sup> <u>红牌</u><sup>6.635</sup> <u>罚下</u><sup>7.05</sup> 。 <u>在场</u><sup>2.287</sup> 上 <small>人数 少 一 人 的 情况 下 , 拉科鲁尼 亚队</small>""",-2.66347224080432,-0.489182442966342,NA,NA
犯规/V/CNA_CMN_20010612_wpr/61627,犯规/V/CNA_CMN_20010612_wpr/61627,犯规,CNA,Taiwan,quality,判/V;裁判/N;骗/V;赛/N;穆汤波/N;穆汤波/N,"""<small>但 终场 前 二 分 二十一 秒 犯满 离场 ,</small> 他 <u>赛</u><sup>1.953</sup> 后 指控 <u>穆汤波</u><sup>5.416</sup> 装模作样 <u>骗</u><sup>2.295</sup> <u>裁判</u><sup>5.177</sup> <u>判</u><sup>5.025</sup> 他 <span class='target'>犯规</span> , 今天 喊 话 , 要 <u>穆汤波</u><sup>5.416</sup> 「 像 个 <small>男子汉 一样 和 我 打球 」 。 他 说 :</small>""",-1.12744884498466,-5.30559423376523,5,out
犯规/V/XIN_CMN_19970909_wpr/6901,犯规/V/XIN_CMN_19970909_wpr/6901,犯规,XIN,Mainland,quality,瑞典队/N;分钟/N;因/C;时/N;比赛/N;进行到/V;裁判/N;上半场/N;红牌/N;出示/V,"""<small>比赛 , 而 奥地利队 有 两 场 比赛 。 康泽尔</small> 6日 同 <u>瑞典队</u><sup>3.046</sup> <u>比赛</u><sup>2.403</sup> <u>进行到</u><sup>4.558</sup> 第八十二 <u>分钟</u><sup>4.099</sup> <u>时</u><sup>1.482</sup> , <u>因</u><sup>2.244</sup> <span class='target'>犯规</span> <u>裁判</u><sup>5.177</sup> <u>出示</u><sup>4.982</sup> <u>红牌</u><sup>6.635</sup> 罚出场 。 普菲 费尔 是 <u>上半场</u><sup>3.927</sup> 连 <small>吃 两 张 黄牌 后 罚出场 的 。 奥地利队 主教</small>""",-2.70747614786587,-1.09380275203513,NA,NA
犯规/V/XIN_CMN_19990531_wpr/68876,犯规/V/XIN_CMN_19990531_wpr/68876,犯规,XIN,Mainland,quality,裁判/N;挪威/N;但/C;判定/V;球员/N;而/C;判罚点球/N;亚队/N;球员/N;随后/N,"""<small>球员卡 拉 德泽 挪威队 禁区 内 挪威 球员 拌 倒</small> , <u>而</u><sup>1.271</sup> 要求 <u>判罚点球</u><sup>7.191</sup> , <u>但</u><sup>1.193</sup> <u>裁判</u><sup>5.177</sup> <u>判定</u><sup>3.818</sup> <u>挪威</u><sup>1.042</sup> <u>球员</u><sup>3.638</sup> <span class='target'>犯规</span> 。 <u>随后</u><sup>1.544</sup> , 格 鲁吉 <u>亚队</u><sup>3.045</sup> 另 一 名 <u>球员</u><sup>3.638</sup> <small>克特萨拜亚 一 记 大脚 劲射 , 攻破 挪威队 门将 奥尔森</small>""",-1.76470205370702,-3.89535829966128,NA,NA
犯规/V/CNA_CMN_19990624_wpr/138544,犯规/V/CNA_CMN_19990624_wpr/138544,犯规,CNA,Taiwan,quality,分钟/N;球队/N;节/N;比赛/N;犯/V;次/N,"""<small>投篮 , 同时 比赛 分成 四 节 进行 , 每</small> <u>节</u><sup>3.313</sup> 十 <u>分钟</u><sup>4.099</sup> , 每 一 <u>节</u><sup>3.313</sup> <u>比赛</u><sup>2.403</sup> <u>球队</u><sup>1.311</sup> 团队 <span class='target'>犯规</span> 超过 四 <u>次</u><sup>2.197</sup> 后 , 每 多 <u>犯</u><sup>1.693</sup> 一 规 <small>, 对方 获 两 次 罚球 机会 。 中华民国 篮球</small>""",3.65183974719048,2.68179792219996,NA,NA
犯规/V/CNA_CMN_20020508_wpr/99856,犯规/V/CNA_CMN_20020508_wpr/99856,犯规,CNA,Taiwan,quality,赛/V;次/N;场/N;时机/N,"""<small>贾马拉 是 上 届 世界盃 中 出风头 的 , 当时</small> 他 总共 出 <u>赛</u><sup>1.91</sup> 四 <u>次</u><sup>2.197</sup> , 没有 一 <u>场</u><sup>2.35</sup> <span class='target'>犯规</span> , 大家 他 拿捏 的 <u>时机</u><sup>1.497</sup> 精准 , 定位 感强 <small>颇 表 赞赏 。 他 的 速度 很 快 ,</small>""",5.02542952390234,-0.508054220191063,NA,NA
犯规/V/CNA_CMN_19940428_wpr/109777,犯规/V/CNA_CMN_19940428_wpr/109777,犯规,CNA,Taiwan,quality,判/V;攻/V;防守/V;带/V;郑志龙/N;幸福队/N;进/V;球/N;但/C;郑志龙/N;幸福队/N;打/V;教练/N,"""<small>时 , 当时 宏国 七十五 六十六 领先 , 这时 宏国队</small> <u>郑志龙</u><sup>4.367</sup> <u>带</u><sup>1.081</sup> <u>球</u><sup>3.82</sup> <u>进</u><sup>1.791</sup> <u>攻</u><sup>2.621</sup> , <u>幸福队</u><sup>5.093</sup> 曾义钦 <u>防守</u><sup>4.884</sup> <u>判</u><sup>5.025</sup> <span class='target'>犯规</span> , <u>但</u><sup>1.193</sup> <u>幸福队</u><sup>5.093</sup> <u>教练</u><sup>2.132</sup> 陈金 认为 <u>郑志龙</u><sup>4.367</sup> 拐子 <u>打</u><sup>2.27</sup> 人 <small>, 因此 大会 提出 抗议 。 这 起 抗议 事件</small>""",-0.338511805287956,1.78755288073609,NA,NA
犯规/N/CNA_CMN_20010912_wpr/244206,犯规/N/CNA_CMN_20010912_wpr/244206,犯规,CNA,Taiwan,quality,裕隆/N;双方/N;巴特尔/N;造成/V;进攻/V;战术/N;巴特尔/N,"""<small>终了 六十 五十 八 领先 。 最后 一 节 首钢</small> <u>巴特尔</u><sup>5.047</sup> 换上 , 企图 拉大 <u>双方</u><sup>1.826</sup> 比数 , <u>裕隆</u><sup>3.825</sup> 使用 <span class='target'>犯规</span> <u>战术</u><sup>5.248</sup> , 拖延 <u>巴特尔</u><sup>5.047</sup> 的 <u>进攻</u><sup>4.165</sup> 气势 , 不过 <u>造成</u><sup>1.362</sup> <small>巴特尔 频频 罚球 , 巴特尔 的 罚 中 机率 高</small>""",1.54777125898598,0.76380516445871,7,out
犯规/V/CNA_CMN_19920808_wpr/63558,犯规/V/CNA_CMN_19920808_wpr/63558,犯规,CNA,Taiwan,quality,分钟/N;因为/C;回合/N;判/V;裁判/N;太多/V,"""<small>他 挥拳 , 第一 局 六 零 领先 。 第二</small> <u>回合</u><sup>1.713</sup> 开始 才 一 <u>分钟</u><sup>4.099</sup> , 伊 容 瑞特 <u>因为</u><sup>1.588</sup> <span class='target'>犯规</span> <u>太多</u><sup>2.655</sup> , 义大利 <u>裁判</u><sup>5.177</sup> <u>判</u><sup>5.025</sup> 站立 计秒 , 数 到 <small>八 。 但是 伊 容 瑞特 获得 分 , 使</small>""",-1.08322919451372,-5.13706083906582,5,out
犯规/V/XIN_CMN_19950415_wpr/4453,犯规/V/XIN_CMN_19950415_wpr/4453,犯规,XIN,Mainland,quality,但/C;队员/N;够/D;比赛/N;场/N;比赛/N,"""<small>选手 技术 水平 的 提高 和 对抗 能力 的 增强</small> 。 <u>但</u><sup>1.193</sup> <u>比赛</u><sup>2.403</sup> 中 暴露出 <u>队员</u><sup>4.016</sup> 视野 <u>够</u><sup>1.143</sup> 开阔 、 <span class='target'>犯规</span> 多 等 弱 点 。 首 <u>场</u><sup>2.35</sup> <u>比赛</u><sup>2.403</sup> 中 按 <small>比赛 规则 , 第一 和 第二 节 每 队 各</small>""",2.60984963910935,-0.163549549928815,NA,NA
