"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"得分/N/CNA_CMN_19920815_wpr/68284","得分/N/CNA_CMN_19920815_wpr/68284","得分","CNA","Taiwan","quality","李友吉/N;分/N;三五九/N;张/N;五九七/N;分/N;赵少华/N;张/N;二一三/N","""<small>周荃 , 一一三七 张 , 二三七 张 , 得分 十二点二七</small> <u>分</u><sup>3.389</sup> 。 <u>李友吉</u><sup>2.51</sup> , <u>五九七</u><sup>5.645</sup> <u>张</u><sup>1.7</sup> , <u>三五九</u><sup>4.419</sup> <u>张</u><sup>1.7</sup> , <span class='target'>得分</span> 十一点四八 <u>分</u><sup>3.389</sup> 。 <u>赵少华</u><sup>5.897</sup> , 一零五一 <u>张</u><sup>1.7</sup> , <u>二一三</u><sup>3.678</sup> <u>张</u><sup>1.7</sup> <small>, 得分 十一点二一 分 。 田文仲 , 九五零 张 ,</small>""",7.55643424561762,-0.198992776734,NA
"得分/N/CNA_CMN_20000628_wpr/140656","得分/N/CNA_CMN_20000628_wpr/140656","得分","CNA","Taiwan","quality","大陆队/N;外线/N;篮/N;下/N;中锋/N","""<small>李楠投 四十五 中 二十六 , 进 球率 百 分 之</small> 五十七点七八 , 这 三 人 的 <u>外线</u><sup>4.6</sup> 是 <u>大陆队</u><sup>3.041</sup> 的 <span class='target'>得分</span> 重要 功 臣 , <u>篮</u><sup>4.205</sup> <u>下</u><sup>1.156</sup> 有 三 大 <u>中锋</u><sup>4.293</sup> <small>, 形成 内外 强攻 。 890628 鲔渔 公会 加强 与</small>""",-0.672345359820017,-2.52375754730462,4
"进球/N/XIN_CMN_19981017_wpr/11728","进球/N/XIN_CMN_19981017_wpr/11728","进球","XIN","Mainland","quality","分钟/N;第58/N;战术/N;分钟/N;:/C;1/N;分/V;平/V;扳成/V","""<small>1 : 0 领先 上半场 。 易边 战 , 建业队</small> 调整 <u>战术</u><sup>2.144</sup> 受到 了 效果 。 <u>第58</u><sup>3.846</sup> <u>分钟</u><sup>4.038</sup> , 宋 <span class='target'>进球</span> <u>分</u><sup>1.982</sup> <u>扳成</u><sup>4.03</sup> <u>1</u><sup>2.177</sup> <u>:</u><sup>1.134</sup> <u>1</u><sup>2.177</sup> <u>平</u><sup>2.183</sup> 。 第69 <u>分钟</u><sup>4.038</sup> , <small>建业队 球员 佐比 禁区 绊倒 获得点 球 机会 , 佐比</small>""",-3.52905375477016,1.42767021137118,NA
"得分/N/CNA_CMN_20000608_wpr/151117","得分/N/CNA_CMN_20000608_wpr/151117","得分","CNA","Taiwan","quality","周泓谕/N;频频/V;郑志龙/N;三分球/N;豪尔/N;开赛/N;对手/N;下/N","""<small>一 开始 第一 节 打 得 确实 不错 , 洋将</small> <u>豪尔</u><sup>5.345</sup> 的 二 记 <u>三分球</u><sup>4.447</sup> 、 <u>郑志龙</u><sup>4.22</sup> 和 <u>周泓谕</u><sup>5.358</sup> <u>频频</u><sup>3.911</sup> <span class='target'>得分</span> , <u>对手</u><sup>3.078</sup> 摸清 状况 <u>下</u><sup>1.156</sup> 有 些 吃不消 , <u>开赛</u><sup>2.647</sup> <small>三 分 多 钟 以后 才 走稳 , 得分 恢复</small>""",-0.0310590651795209,-2.21683786878514,4
"得分/N/XIN_CMN_19950414_wpr/7069","得分/N/XIN_CMN_19950414_wpr/7069","得分","XIN","Mainland","quality","犯规/N;次数/N;急躁/V;对方/N;反而/C;罚球/V;钟/N;最后/N;5分/N;比赛/N;不少/V","""<small>力 犯规 罚 下场 的 情况 下 , 打 得</small> <u>反而</u><sup>1.36</sup> <u>急躁</u><sup>4.043</sup> , <u>犯规</u><sup>4.093</sup> <u>次数</u><sup>2.03</sup> 增多 , 使 <u>对方</u><sup>3.428</sup> <u>罚球</u><sup>4.428</sup> <span class='target'>得分</span> <u>不少</u><sup>1.028</sup> 。 <u>最后</u><sup>2.019</sup> <u>5分</u><sup>2.666</sup> <u>钟</u><sup>2.613</sup> 的 <u>比赛</u><sup>2.314</sup> 里 , 利摩日 <small>队 仅 得 7 分 , 而 佩纳蒂内科斯 队 得了</small>""",-3.8713266884312,-1.49618679697071,NA
"得分/N/XIN_CMN_20020102_wpr/18691","得分/N/XIN_CMN_20020102_wpr/18691","得分","XIN","Mainland","quality","输给/V;浪狮队/N;全/N;胡卫东/N;场/N;主场/N;高/V;号/N;最/D;球员/N;小将/N;11/N;江苏队/N","""<small>A 联赛 第八 轮 比赛 中 , 96 : 105</small> <u>主场</u><sup>2.389</sup> <u>输给</u><sup>1.851</sup> 了 新 <u>浪狮队</u><sup>5.303</sup> 。 <u>胡卫东</u><sup>5.015</sup> 是 <u>全</u><sup>1.316</sup> <u>场</u><sup>2.68</sup> <span class='target'>得分</span> <u>最</u><sup>1.179</sup> <u>高</u><sup>1.661</sup> 的 <u>球员</u><sup>3.405</sup> 。 <u>江苏队</u><sup>3.592</sup> <u>小将</u><sup>2.61</sup> 、 <u>11</u><sup>1.435</sup> <u>号</u><sup>1.832</sup> <small>唐 正东 得了 25 分 。 新 浪狮队 得分 最多</small>""",0.818590104089514,0.772260008313485,NA
"进球/N/XIN_CMN_20000229_wpr/60491","进球/N/XIN_CMN_20000229_wpr/60491","进球","XIN","Mainland","quality","分/N;本/N;创下/V;赛场/N;场/N;赛季/N;以/N;:/C;纪录/N;乔丹/N","""<small>的 主场 比赛 中 , 一 股 作气 灌进 51</small> <u>分</u><sup>1.332</sup> , <u>创下</u><sup>1.129</sup> <u>本</u><sup>1.661</sup> <u>赛季</u><sup>4.0</sup> <u>赛场</u><sup>1.924</sup> 上 单人 独 <u>场</u><sup>3.05</sup> <span class='target'>进球</span> <u>纪录</u><sup>2.27</sup> , 身手 酷似 <u>乔丹</u><sup>1.764</sup> 。 猛龙队 <u>以</u><sup>2.389</sup> 103 <u>:</u><sup>1.134</sup> <small>102 战胜 太阳队 , 卡特 几乎 赛 变成 了 个人</small>""",2.49793561121354,2.18194230882711,NA
"进球/N/XIN_CMN_20040515_wpr/54066","进球/N/XIN_CMN_20040515_wpr/54066","进球","XIN","Mainland","quality","分/N;但/C;钟时/N;上场/V;球队/N;拜仁队/N;失败/V;颜面/N;挽回/V","""<small>主帅 希斯菲德 尔 随后 皮萨罗 、 代斯勒 等 “ 生力军</small> ” 派遣 <u>上场</u><sup>2.96</sup> , <u>但</u><sup>1.112</sup> 皮萨罗 第74 <u>分</u><sup>1.332</sup> <u>钟时</u><sup>5.655</sup> 的 <span class='target'>进球</span> 只 让 <u>拜仁队</u><sup>4.82</sup> <u>挽回</u><sup>2.478</sup> 少许 <u>颜面</u><sup>2.944</sup> , 改变 <u>球队</u><sup>2.882</sup> <u>失败</u><sup>1.421</sup> <small>的 命运 。 本 场 比赛 的 失利 增大 希斯菲尔德</small>""",-3.71837495004953,-0.630981611028572,NA
"进球/N/XIN_CMN_20020609_wpr/22738","进球/N/XIN_CMN_20020609_wpr/22738","进球","XIN","Mainland","quality","沉闷/V;场/N;队/N;比赛/N;得球/N;分钟/N;第五十六/N;禁区/N","""<small>并 表现出 巴西队 一 役 的 战术 水平 , 整</small> <u>场</u><sup>3.05</sup> <u>比赛</u><sup>2.733</sup> 显得 <u>沉闷</u><sup>4.411</sup> 而 枯燥 。 土 <u>队</u><sup>3.105</sup> 的 <span class='target'>进球</span> 出现 <u>第五十六</u><sup>3.399</sup> <u>分钟</u><sup>4.038</sup> , 当时 贝洛佐格卢 <u>禁区</u><sup>3.442</sup> 内 <u>得球</u><sup>4.183</sup> , <small>一 脚 推 射 哥队 后卫 挡出 , 他 迅速</small>""",-3.78098879592985,1.181347253881,NA
"进球/N/XIN_CMN_19940709_wpr/30473","进球/N/XIN_CMN_19940709_wpr/30473","进球","XIN","Mainland","quality","号/N;球员/N;10/N;纪录/N;玻利维亚队/N","""<small>” , 但 他 是 球队 的 核心 。 人</small> 们 寄 希望 的 <u>10</u><sup>1.127</sup> <u>号</u><sup>1.307</sup> <u>球员</u><sup>3.333</sup> 无 突出 的 <span class='target'>进球</span> <u>纪录</u><sup>2.27</sup> 。 哥伦 比亚队 的 巴尔德拉马 如愿 ; <u>玻利维亚队</u><sup>3.758</sup> 的 <small>“ 希望 所在 ” 埃切维 里 只 上场 5 分钟</small>""",-0.487437720465985,4.17203775431259,NA
