"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"手球/N/CNA_CMN_19970909_wpr/53957","手球/N/CNA_CMN_19970909_wpr/53957","手球","CNA","Taiwan","quality","巧固球/N;排球/N;角力/N;、/P;槌球/N;保龄球/N;游泳/V;、/P;高尔夫球/N;垒球/N","""<small>拔河 、 桌球 、 羽球 、 柔道 、 软网 、</small> <u>槌球</u><sup>4.064</sup> , 拳道 <u>、</u><sup>1.055</sup> <u>角力</u><sup>4.527</sup> <u>、</u><sup>1.055</sup> <u>排球</u><sup>4.992</sup> <u>、</u><sup>1.055</sup> <u>巧固球</u><sup>7.045</sup> <u>、</u><sup>1.055</sup> <span class='target'>手球</span> <u>、</u><sup>1.055</sup> <u>垒球</u><sup>5.55</sup> <u>、</u><sup>1.055</sup> <u>游泳</u><sup>3.512</sup> <u>、</u><sup>1.055</sup> <u>高尔夫球</u><sup>3.027</sup> <u>、</u><sup>1.055</sup> <u>保龄球</u><sup>4.532</sup> 等 十九 <small>种 。 比赛 场地 后综 国中 以外 , 包括 启明</small>""",-2.38803635742432,-6.04832799671129,NA
"手球/N/XIN_CMN_19960824_wpr/6605","手球/N/XIN_CMN_19960824_wpr/6605","手球","XIN","Mainland","quality","亚洲/N;青年/N;男子/N;运动员/N;第五/N;年龄/N;届/N;手球/N;参赛/N;亚洲/N;标赛/N;联合会/N;锦/N;年龄/N","""<small>8月 23日 电 ( 记者 潘立文 ) 三 名 沙</small> 阿拉伯 <u>运动员</u><sup>2.305</sup> 由于 <u>年龄</u><sup>1.178</sup> 超过 <u>第五</u><sup>2.033</sup> <u>届</u><sup>2.413</sup> <u>亚洲</u><sup>2.705</sup> <u>青年</u><sup>2.619</sup> <u>男子</u><sup>3.919</sup> <span class='target'>手球</span> <u>锦</u><sup>3.718</sup> <u>标赛</u><sup>4.451</sup> 规定 的 <u>参赛</u><sup>2.957</sup> <u>年龄</u><sup>1.178</sup> 而 <u>亚洲</u><sup>2.705</sup> <u>手球</u><sup>6.898</sup> <u>联合会</u><sup>3.574</sup> <small>取消 了 参赛 资格 。 亚 手联 规定 1976年 以后</small>""",1.71562579095317,-0.728946047563982,NA
"手球/N/CNA_CMN_19990516_wpr/23641","手球/N/CNA_CMN_19990516_wpr/23641","手球","CNA","Taiwan","quality","体育/N;、/P;体操/N;足球/N;篮球/N;、/P;柔道/N","""<small>阳光 木球 推桿 、 高尔夫 推广 、 民俗 扯铃 跳绳</small> 打陀螺 以及 <u>体育</u><sup>2.211</sup> 表演区 内 的 啦啦队 <u>、</u><sup>1.055</sup> 街舞 <u>、</u><sup>1.055</sup> <span class='target'>手球</span> <u>、</u><sup>1.055</sup> <u>足球</u><sup>3.199</sup> <u>、</u><sup>1.055</sup> 有氧舞蹈 <u>、</u><sup>1.055</sup> <u>体操</u><sup>4.18</sup> <u>、</u><sup>1.055</sup> <u>柔道</u><sup>4.679</sup> <u>、</u><sup>1.055</sup> <u>篮球</u><sup>4.206</sup> <small>、 爵士舞 、 武舞 、 垒球 、 田径 等 ,</small>""",-2.91365966785938,-4.72035320854438,NA
"手球/N/CNA_CMN_19971126_wpr/88399","手球/N/CNA_CMN_19971126_wpr/88399","手球","CNA","Taiwan","quality","全国/N;体育界/N;赐爵/V;蔡/N;、/P;理事长/N;撞球/N;协会/N","""<small>视 的 情形 , 认为 赵丽云 留任 , 继续 领导</small> <u>全国</u><sup>1.697</sup> <u>体育界</u><sup>2.297</sup> , 让 他们 有 困难 时 申诉 。 <span class='target'>手球</span> <u>协会</u><sup>2.395</sup> <u>理事长</u><sup>1.939</sup> <u>蔡</u><sup>2.745</sup> <u>赐爵</u><sup>7.651</sup> <u>、</u><sup>1.055</sup> <u>撞球</u><sup>2.935</sup> <u>协会</u><sup>2.395</sup> <u>理事长</u><sup>1.939</sup> 庄村彻 <u>、</u><sup>1.055</sup> <small>健美 协会 理事长 罗再兴 、 划船 协会 理事长 陈钖南 ,</small>""",3.15149085548132,-4.86756117547699,8
"手球/N/XIN_CMN_20030321_wpr/72767","手球/N/XIN_CMN_20030321_wpr/72767","手球","XIN","Mainland","quality","21日/N;非洲/N;第十九/N;届/N;张有浩/N;电/N;突尼斯/N;21日/N;优胜者杯赛/N;战幕/N;首都/N;揭开/V","""<small>) 非洲 手球 俱乐部 优胜者杯赛 突尼斯 拉开 战幕 新华社 突尼斯</small> 3月 <u>21日</u><sup>1.399</sup> <u>电</u><sup>1.247</sup> ( 记者 <u>张有浩</u><sup>4.274</sup> ) <u>第十九</u><sup>3.305</sup> <u>届</u><sup>2.413</sup> <u>非洲</u><sup>2.344</sup> <span class='target'>手球</span> 乐 部 <u>优胜者杯赛</u><sup>5.499</sup> <u>21日</u><sup>1.399</sup> 下午 <u>突尼斯</u><sup>3.619</sup> <u>首都</u><sup>1.144</sup> <u>揭开</u><sup>1.929</sup> <u>战幕</u><sup>4.321</sup> , <small>突尼斯 的 男 、 女队 揭幕战 中 告捷 。 开幕式</small>""",3.98818026477841,2.92292834061818,NA
"手球/N/XIN_CMN_19910929_wpr/19673","手球/N/XIN_CMN_19910929_wpr/19673","手球","XIN","Mainland","quality","阿尔及利亚队/N;埃及队/N;男子/N;争夺/V;手球/N;女子/N;迎战/V;冠军/N;决赛/N;安哥拉队/N","""<small>了 男篮 决赛权 , 女篮 最后 的 决赛 莫桑比克 队</small> 与 塞内加尔队 之间 进行 , <u>埃及队</u><sup>4.386</sup> 和 <u>阿尔及利亚队</u><sup>4.685</sup> <u>争夺</u><sup>2.352</sup> <u>男子</u><sup>3.919</sup> <span class='target'>手球</span> <u>冠军</u><sup>2.727</sup> , <u>安哥拉队</u><sup>4.507</sup> <u>女子</u><sup>4.202</sup> <u>手球</u><sup>6.898</sup> <u>决赛</u><sup>3.139</sup> 中将 <u>迎战</u><sup>1.488</sup> 科特迪 瓦 <small>队 。 微波 传真 照片 预告 内容 : 今日 无</small>""",-1.94475704242616,3.83351434427244,NA
"手球/N/XIN_CMN_19940802_wpr/38731","手球/N/XIN_CMN_19940802_wpr/38731","手球","XIN","Mainland","quality","高校/N;全国/N;大学队/N;开幕/N;上海/N;联赛/N;全国/N;25日/N","""<small>比赛 第二 、 三 名 的 分别 是 华南 师范</small> <u>大学队</u><sup>2.843</sup> 和 上 海城建 学院队 。 今年 的 <u>全国</u><sup>1.697</sup> <u>高校</u><sup>1.105</sup> <span class='target'>手球</span> <u>联赛</u><sup>2.412</sup> 是 7月 <u>25日</u><sup>1.482</sup> <u>上海</u><sup>1.13</sup> <u>开幕</u><sup>1.926</sup> 的 , 来自 <u>全国</u><sup>1.697</sup> <small>9 所 高校 的 11 个 代表队 共 160多 名</small>""",4.48985553597076,3.21509343316982,NA
"手球/N/XIN_CMN_20010115_wpr/52668","手球/N/XIN_CMN_20010115_wpr/52668","手球","XIN","Mainland","quality","名列/V;3战/N;男子/N;四国/N;第四/N;备战/V;瑞典/N;邀请赛/N","""<small>19 和 25 : 22 战胜 了 德国队 。 德国队</small> <u>3战</u><sup>4.207</sup> 负 , <u>名列</u><sup>1.539</sup> <u>第四</u><sup>1.219</sup> 。 这 次 <u>四国</u><sup>2.572</sup> <u>男子</u><sup>3.919</sup> <span class='target'>手球</span> <u>邀请赛</u><sup>4.6</sup> <u>瑞典</u><sup>2.298</sup> 南方 几 个 城市 展开 , 是 <u>备战</u><sup>3.383</sup> <small>法国 开始 的 世界 男子 手球 锦标赛 而 举行 的</small>""",0.0792965270942508,3.96453895234892,NA
"手球/N/XIN_CMN_20040826_wpr/102850","手球/N/XIN_CMN_20040826_wpr/102850","手球","XIN","Mainland","quality","女子/N;参加/V;参赛队/N;本/N;奥运会/N;届/N;支/N;队伍/N;欧洲/N;比赛/N","""<small>希腊队 23 : 38 惨败 给 安哥拉队 , 10 支</small> <u>参赛队</u><sup>3.579</sup> 中 垫底 。 <u>本</u><sup>1.061</sup> <u>届</u><sup>2.413</sup> <u>奥运会</u><sup>2.251</sup> 上 <u>参加</u><sup>1.568</sup> <u>女子</u><sup>4.202</sup> <span class='target'>手球</span> <u>比赛</u><sup>2.476</sup> 的 有 6 <u>支</u><sup>1.85</sup> <u>欧洲</u><sup>1.503</sup> <u>队伍</u><sup>2.062</sup> , 而 来自 <small>亚洲 、 非洲 和 南美 的 总共 只有 4 支</small>""",-0.446175473805361,2.11562003908352,NA
"手球/N/CNA_CMN_20020326_wpr/17326","手球/N/CNA_CMN_20020326_wpr/17326","手球","CNA","Taiwan","quality","足球/N;、/P;体育场/N;国小/N;、/P;羽球/N","""<small>北县 体育馆 ) 、 柔道 ( 土城 国中 ) 、</small> <u>足球</u><sup>3.199</sup> ( 新庄 <u>体育场</u><sup>1.336</sup> 及 光 兴国 小 ) <u>、</u><sup>1.055</sup> <span class='target'>手球</span> ( 秀山 <u>国小</u><sup>1.411</sup> 及 中和 <u>国小</u><sup>1.411</sup> ) <u>、</u><sup>1.055</sup> <u>羽球</u><sup>4.325</sup> ( <small>三重 高中 ) 、 桌球 ( 板桥市 立 体育馆 )</small>""",-2.04557778142838,-6.42310789030924,NA
