,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
任意球/N/XIN_CMN_20010825_wpr/27880,任意球/N/XIN_CMN_20010825_wpr/27880,任意球,XIN,Mainland,quality,分钟/N;第33/N;时/N;分/V;中国队/N;添/V;祁/N;补射/V;范志毅/N;头/N;郝海东/N;球/N;得分/N,"""<small>路 一 脚 精准传 中 , 祁宏 抢 点 为</small> <u>中国队</u><sup>3.354</sup> <u>添</u><sup>3.149</sup> <u>分</u><sup>2.824</sup> 。 <u>第33</u><sup>4.847</sup> <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , <u>祁</u><sup>5.361</sup> 宏任罚 <span class='target'>任意球</span> , <u>范志毅</u><sup>4.947</sup> <u>头</u><sup>3.62</sup> <u>球</u><sup>4.787</sup> 一摆 , <u>郝海东</u><sup>4.972</sup> <u>补射</u><sup>6.44</sup> <u>得分</u><sup>4.657</sup> 。 <small>中国队 的 首 发 阵容 明显 年轻 多 。 李明</small>""",-1.20701814956686,-0.696032298725545,NA,NA
任意球/N/XIN_CMN_19980704_wpr/49478,任意球/N/XIN_CMN_19980704_wpr/49478,任意球,XIN,Mainland,quality,裁判/N;快速/V;罚/V;丹麦队/N;拉倒/V;・/F;马/N,"""<small>中 场 断球 后 发动 快攻 , 莫勒 禁区 前</small> <u>拉倒</u><sup>5.912</sup> 。 <u>裁判</u><sup>3.459</sup> 的 哨声 响起 , <u>丹麦队</u><sup>3.467</sup> <u>快速</u><sup>1.594</sup> <u>罚</u><sup>5.517</sup> <span class='target'>任意球</span> , 布 <u>.</u><sup>1.357</sup> 劳德鲁普下底横传 , 约 根森拍 <u>马</u><sup>1.634</sup> 赶到 , <small>一 脚 破门 。 这 个 快速 进球 打 醒</small>""",5.78826828620267,1.24174403817408,NA,NA
任意球/N/XIN_CMN_19950430_wpr/4433,任意球/N/XIN_CMN_19950430_wpr/4433,任意球,XIN,Mainland,quality,分钟/N;时/N;获/V;一/N;大连/N;前/N;场/N;队/N;乱军/V;射门/V;次/N;连队/N;机会/N,"""<small>双方 有 进攻 , 但 只 开花 结果 。 终场</small> <u>前</u><sup>2.638</sup> <u>一</u><sup>1.482</sup> <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , <u>大连</u><sup>1.891</sup> <u>队</u><sup>2.985</sup> <u>获</u><sup>2.199</sup> <u>前</u><sup>2.638</sup> <u>场</u><sup>3.027</sup> <span class='target'>任意球</span> <u>机会</u><sup>4.206</sup> , <u>乱军</u><sup>6.951</sup> 中 , 大 <u>连队</u><sup>2.737</sup> 两 <u>次</u><sup>1.979</sup> <u>射门</u><sup>5.885</sup> <small>挡出 , 最后 一 次 机会 把握住 。 赛 后</small>""",2.21981406256233,-1.92703818476254,3,in
任意球/N/XIN_CMN_20040410_wpr/20008,任意球/N/XIN_CMN_20040410_wpr/20008,任意球,XIN,Mainland,quality,钟/N;亚泰队/N;罚球区/N;前沿/N;分/V;一/N;记/N;建业队/N;分钟/N;队员/N;亚泰队/N;时/N;左/N;第二十/N;破门/N,"""<small>主队 球门 前 频频 制造 杀机 , 开场 仅 两</small> <u>分</u><sup>2.824</sup> <u>钟</u><sup>3.894</sup> , <u>亚泰队</u><sup>4.937</sup> <u>建业队</u><sup>4.817</sup> <u>罚球区</u><sup>6.871</sup> <u>前沿</u><sup>5.2</sup> 的 <u>一</u><sup>1.482</sup> <u>记</u><sup>5.268</sup> <span class='target'>任意球</span> <u>破门</u><sup>6.376</sup> 。 <u>第二十</u><sup>2.685</sup> 七 <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , <u>亚泰队</u><sup>4.937</sup> <u>队员</u><sup>3.252</sup> <u>左</u><sup>3.68</sup> <small>路大脚 踢出 任意球 , 混战 中 亚泰队 13 号 王万鹏</small>""",-0.633514785831209,0.53832926329848,NA,NA
自由球/N/CNA_CMN_19980701_wpr/17918,自由球/N/CNA_CMN_19980701_wpr/17918,自由球,CNA,Taiwan,quality,外/N;结束/N;犯规/V;半/N;前/N;禁区/N;场/N;员/N;时/N;罚踢/V;球/N,"""<small>二 一 领 。 不过 阿队 非 等闲之辈 , 上</small> <u>半</u><sup>3.04</sup> <u>场</u><sup>2.615</sup> <u>结束</u><sup>1.891</sup> <u>前</u><sup>1.467</sup> , 英队 <u>禁区</u><sup>5.831</sup> <u>外</u><sup>1.87</sup> <u>犯规</u><sup>6.552</sup> 判罚 <span class='target'>自由球</span> , 阿队 <u>罚踢</u><sup>9.96</sup> <u>时</u><sup>1.87</sup> 假动作 骗 过 英队 <u>球</u><sup>4.254</sup> <u>员</u><sup>2.689</sup> <small>, 球偏传 禁区 旁 无 人 盯 守 的 后卫</small>""",5.7218100357946,-0.335372048382555,NA,NA
任意球/N/XIN_CMN_20001119_wpr/34462,任意球/N/XIN_CMN_20001119_wpr/34462,任意球,XIN,Mainland,quality,开场/V;一/N;比赛/N;大门/N;对方/N;攻破/V,"""<small>18日电 ( 记者 王子江 ) 贝克汉姆 今天 晚上 同 城小</small> 兄弟 曼城队 的 <u>比赛</u><sup>1.581</sup> 中 , 由于 <u>开场</u><sup>4.605</sup> <u>一</u><sup>1.482</sup> 计 <span class='target'>任意球</span> <u>攻破</u><sup>5.757</sup> 了 <u>对方</u><sup>4.876</sup> 的 <u>大门</u><sup>4.491</sup> , 于是 遭到 了 曼城 <small>球迷 硬币 的 袭击 。 比赛 中 , 他 靠近</small>""",-0.831967540224366,2.07199559093317,NA,NA
任意球/N/XIN_CMN_19920129_wpr/69945,任意球/N/XIN_CMN_19920129_wpr/69945,任意球,XIN,Mainland,quality,分钟/N;罚/V;获/V;猛/V;德国队/N;前/N;场/N;号/N;9/N;一/N;后/N;罚出/V;球/N,"""<small>中 , 中国队 明显 体力 不支 , 德国队 反而 打</small> <u>猛</u><sup>2.912</sup> 。 第四 <u>分钟</u><sup>5.116</sup> , <u>德国队</u><sup>3.706</sup> <u>前</u><sup>2.638</sup> <u>场</u><sup>3.027</sup> <u>获</u><sup>2.199</sup> <u>罚</u><sup>5.517</sup> <span class='target'>任意球</span> , 是 <u>9</u><sup>1.138</sup> <u>号</u><sup>3.206</sup> 接队友 <u>罚出</u><sup>7.898</sup> 的 <u>球</u><sup>4.787</sup> <u>后</u><sup>1.091</sup> <u>一</u><sup>1.482</sup> <small>脚 劲射 破门 , 2 : 1 领先 。 中国队</small>""",3.93131385677661,-0.92096525676975,NA,NA
任意球/N/XIN_CMN_20031129_wpr/49095,任意球/N/XIN_CMN_20031129_wpr/49095,任意球,XIN,Mainland,quality,外/N;弧线/N;一/N;脚/N;禁区/N;精妙/V;右侧/N;锁定/V;对手/N;1/N;分/V;攻破/V,"""<small>上半场 。 但 第50 分钟 时 , 主队 的 拉恩</small> 大 <u>禁区</u><sup>6.345</sup> <u>右侧</u><sup>5.8</sup> <u>外</u><sup>1.437</sup> 的 <u>一</u><sup>1.482</sup> <u>脚</u><sup>4.883</sup> <u>精妙</u><sup>5.675</sup> 的 <u>弧线</u><sup>6.69</sup> <span class='target'>任意球</span> <u>攻破</u><sup>5.757</sup> <u>对手</u><sup>2.578</sup> 城门 , <u>分</u><sup>2.824</sup> <u>锁定</u><sup>2.85</sup> 为 <u>1</u><sup>1.612</sup> : <u>1</u><sup>1.612</sup> <small>。 列 积分 榜 第三 位 的 勒沃库森队 今天 主场</small>""",-1.33495196526805,5.31032255962393,NA,NA
自由球/N/CNA_CMN_20020629_wpr/121820,自由球/N/CNA_CMN_20020629_wpr/121820,自由球,CNA,Taiwan,quality,分钟/N;犯规/V;直接/V;第九/N;禁区/N;边缘/N;获得/V;李乙容/N;中场/N;机会/N,"""<small>世界盃 最 快 进球 纪录 。 , 南韩队 示弱 ,</small> <u>第九</u><sup>3.608</sup> <u>分钟</u><sup>4.59</sup> <u>禁区</u><sup>5.831</sup> <u>边缘</u><sup>4.747</sup> 造成 土耳其队 <u>犯规</u><sup>6.552</sup> , <u>获得</u><sup>2.163</sup> <u>直接</u><sup>3.498</sup> <span class='target'>自由球</span> 的 <u>机会</u><sup>3.093</sup> , <u>中场</u><sup>5.897</sup> <u>李乙容</u><sup>10.143</sup> ( Lee Eul Yong ) <small>主踢 , 直接 窜进 球门 左上角 , 比数 追平 。</small>""",0.913056808016809,6.6724961776776,NA,NA
任意球/N/XIN_CMN_19970323_wpr/14868,任意球/N/XIN_CMN_19970323_wpr/14868,任意球,XIN,Mainland,quality,罚/V;犯规/V;一/N;红牌/N;客队/N;下/N;脚/N;八一/N;门楣/N;弹出/V;击中/V;打/V;队/N,"""<small>。 下 半 时 开球 不久 , 八一 队 主力</small> 肖坚铲人 <u>犯规</u><sup>5.438</sup> , <u>红牌</u><sup>4.607</sup> <u>罚</u><sup>5.517</sup> <u>下</u><sup>1.059</sup> 。 <u>客队</u><sup>5.176</sup> <u>一</u><sup>1.482</sup> <u>脚</u><sup>4.883</sup> <span class='target'>任意球</span> <u>击中</u><sup>4.162</sup> <u>门楣</u><sup>5.876</sup> <u>弹出</u><sup>6.246</sup> 。 少 <u>打</u><sup>2.149</sup> 多 的 <u>八一</u><sup>3.395</sup> <u>队</u><sup>2.985</sup> <small>改打 防守 反击 , 前 场 只 留 胡云峰 一</small>""",-3.17897709311617,5.7076554349671,NA,NA
