,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
门将/N/XIN_CMN_20021012_wpr/50136,门将/N/XIN_CMN_20021012_wpr/50136,门将,XIN,Mainland,quality,门/N;安全部/N;司法部/N;穆罕默德/N,"""<small>间 举 行 的 记者 招待会 上 宣布 , 科</small> <u>安全部</u><sup>2.768</sup> <u>门</u><sup>2.849</sup> 结束 费莱凯岛 枪击 事件 的 调查 , <u>司法部</u><sup>3.422</sup> <span class='target'>门将</span> 涉及 此 案 的 15 名 嫌疑犯 提起公诉 。 <u>穆罕默德</u><sup>2.986</sup> <small>称 费莱凯岛 枪击案 是 “ 恐怖 行动 ” , 但</small>""",0.174966281373501,-6.48876673225189,NA,NA
门将/N/CNA_CMN_20020111_wpr/101912,门将/N/CNA_CMN_20020111_wpr/101912,门将,CNA,Taiwan,quality,农业部/N;,"""<small>、 灵活 的 策略 应对 加入 WTO 的 挑战 。</small> 这 名 部长 透露 , 今年 起 , 中国 <u>农业部</u><sup>2.678</sup> <span class='target'>门将</span> 实施 优 质 专用 粮食 等 大宗 农产品业 、 畜牧业 <small>、 园艺业 、 农产品 加工业 、 渔业 和 农垦 等</small>""",0.127314012332168,-6.88398208666805,NA,NA
门将/N/CNA_CMN_19980615_wpr/18807,门将/N/CNA_CMN_19980615_wpr/18807,门将,CNA,Taiwan,quality,墙/N;朗/V;绕过/V;球/N;入网/N;不及/V;应声/V;球/N;扑救/V,"""<small>, 今天 二十 五 码 外 起脚 踢出 低飞 「</small> 香焦球 」 , <u>球</u><sup>4.436</sup> <u>绕过</u><sup>3.962</sup> 伊朗人 <u>墙</u><sup>1.017</sup> , 伊 <u>朗</u><sup>1.48</sup> <span class='target'>门将</span> 纳奇沙 <u>扑救</u><sup>6.202</sup> <u>不及</u><sup>3.656</sup> , <u>球</u><sup>4.436</sup> 儿 <u>应声</u><sup>4.387</sup> <u>入网</u><sup>5.62</sup> 。 米哈洛维奇 <small>赛 后 发表 感言 时 笑 着 说 : 「</small>""",-4.18232725782788,0.174273134358393,NA,NA
门将/N/XIN_CMN_20040808_wpr/37994,门将/N/XIN_CMN_20040808_wpr/37994,门将,XIN,Mainland,quality,门将/N;世界级/N;,"""<small>幸运 地 拥有 卡恩 和 莱曼 两 位 世界级 的</small> 优秀 <u>门将</u><sup>5.082</sup> , 另外 有 一 个 成长为 <u>世界级</u><sup>2.772</sup> 优秀 <span class='target'>门将</span> 的 希尔德布兰 。 他 相信 , 今后 两 年 里 <small>希尔德布兰 的 水平 得到 的 提升 。 因此 , 他</small>""",3.31243583754012,3.1651123884386,NA,NA
门将/N/CNA_CMN_20020608_wpr/64412,门将/N/CNA_CMN_20020608_wpr/64412,门将,CNA,Taiwan,quality,身材/N;神奇/N;守门员/N;身手/N;巴拉圭/N,"""<small>嘴巴 ! 」 讥讽 其 只 夸口 大 摆乌 龙</small> , 肥胖 的 <u>身材</u><sup>1.959</sup> 使得 这 位 素称 「 <u>神奇</u><sup>4.683</sup> <span class='target'>门将</span> 」 的 <u>守门员</u><sup>4.539</sup> <u>身手</u><sup>3.133</sup> 大不如前 。 而 <u>巴拉圭</u><sup>2.551</sup> 当地 球评 <small>是 此 次 败战 归咎于 教练 马迪 尼 , 他们</small>""",3.08556721944307,3.43462935525367,NA,NA
门将/N/XIN_CMN_19990714_wpr/89882,门将/N/XIN_CMN_19990714_wpr/89882,门将,XIN,Mainland,quality,斯卡/N;裁判/N;犯规/V;抓住/V,"""<small>故意 犯规 ” 。 《 洛杉矶 时报 》 今天 的</small> 报道 说 , “ <u>斯卡</u><sup>2.984</sup> 里 表示 , 每 个 <span class='target'>门将</span> 这样 干 , <u>裁判</u><sup>2.442</sup> <u>抓住</u><sup>1.982</sup> , 算 <u>犯规</u><sup>3.766</sup> 。 ” <small>美联社 报道 说 , 斯卡 里 赛 后 自己 的</small>""",0.902339960890442,1.53757592350761,NA,NA
门将/N/XIN_CMN_20020118_wpr/48933,门将/N/XIN_CMN_20020118_wpr/48933,门将,XIN,Mainland,quality,席尔瓦/N;,"""<small>冲击 , 委内瑞拉 能源 和 矿业部 长 阿尔 瓦罗 ・</small> <u>席尔瓦</u><sup>3.481</sup> 接受 当地 媒体 采访 时 表示 , 委 能源部 <span class='target'>门将</span> 采取 措施 , 力争 出口 原油 价格 维持 政府 今年 <small>预算 中 定 的 目标 , 即 2002年 全 年</small>""",6.44346413668012,-0.707169079381673,NA,NA
门将/N/CNA_CMN_20020616_wpr/101590,门将/N/CNA_CMN_20020616_wpr/101590,门将,CNA,Taiwan,quality,进球/N;爱尔兰/N;斯/N;可惜/V;机会/N;好几/N;挡出/V;西班牙/N,"""<small>西班牙 掌控 局面 , 前锋 劳尔 四十七 分钟 时 莫瑞安提</small> <u>斯</u><sup>1.944</sup> 制造 另 一 次 <u>进球</u><sup>3.521</sup> <u>机会</u><sup>2.359</sup> , <u>可惜</u><sup>3.45</sup> <u>爱尔兰</u><sup>1.111</sup> <span class='target'>门将</span> 吉温 <u>挡出</u><sup>7.188</sup> 界 外 , 以后 <u>西班牙</u><sup>1.358</sup> 有 <u>好几</u><sup>1.839</sup> 次 <small>赢 球 机会 , 但 临门一脚 把握 。 爱尔兰 有</small>""",-1.06420047474997,3.02622683517109,NA,NA
门将/N/CNA_CMN_19960129_wpr/27866,门将/N/CNA_CMN_19960129_wpr/27866,门将,CNA,Taiwan,quality,部/N;部/N,"""<small>「 国家 电力 总公司 」 和 「 国家 钢铁 控股</small> 公司 」 。 该 方 案 , 这 两 <u>部</u><sup>1.716</sup> <span class='target'>门将</span> 成为 垄断 全 行业 的 公司 , 隶属 两 <u>部</u><sup>1.716</sup> <small>的 大型 企业 揽 己 有 , 同时 拥有 资产</small>""",-0.604013327525179,-6.2696132109916,NA,NA
门将/N/CNA_CMN_19940930_wpr/75269,门将/N/CNA_CMN_19940930_wpr/75269,门将,CNA,Taiwan,quality,入/V;快速/V,"""<small>南韩 中 国 大陆 总投资 件数 为 一千七 百十四 件</small> 、 金额 达 十四亿五千四百八十万 美元 。 明天 起 <u>入</u><sup>1.43</sup> 出国 <span class='target'>门将</span> 更 <u>快速</u><sup>2.049</sup> 便捷 ( 中央社 记者 陈嘉倩 桃园 中正机场 三十 <small>日 电 ) 明天 起 , 入 出国 门将 更为</small>""",-5.27700884211799,0.329411305135619,NA,NA
