,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
裁判/N/XIN_CMN_20041215_wpr/9658,裁判/N/XIN_CMN_20041215_wpr/9658,裁判,XIN,Mainland,quality,裁判/N;英超/N;比赛/N;裁判/N;比赛/N,"""<small>、 甲 乙 丙 三 级 联赛 以及 英格兰 足总</small> <u>比赛</u><sup>2.634</sup> 。 <u>英超</u><sup>3.661</sup> <u>裁判</u><sup>5.709</sup> 主任 每 两 周 召集 分管 <span class='target'>裁判</span> 开会 , 讨论 分析 近期 <u>比赛</u><sup>2.634</sup> 中 <u>裁判</u><sup>5.709</sup> 们 遇到 <small>的 执法 难题 和 争议 。 他们 讨论 时 借助</small>""",0.420719550201437,-1.22272868102755,NA,NA
裁判/N/XIN_CMN_19940408_wpr/58084,裁判/N/XIN_CMN_19940408_wpr/58084,裁判,XIN,Mainland,quality,世界杯/N;足球/N;决赛/N;裁判/N;名/N,"""<small>和 22 名 巡 边 员 , 正式 担任 今年</small> 夏 天 美国 举行 的 <u>足球</u><sup>2.768</sup> <u>世界杯</u><sup>2.5</sup> <u>决赛</u><sup>1.804</sup> 阶段 的 <span class='target'>裁判</span> 工作 。 24 <u>名</u><sup>1.248</sup> <u>裁判</u><sup>5.709</sup> 中 , 来自 欧洲 的 <small>有 12 名 , 来自 南美 的 有 5 名</small>""",-0.23237644281878,-1.4420306011293,NA,NA
裁判/N/CNA_CMN_20031106_wpr/71509,裁判/N/CNA_CMN_20031106_wpr/71509,裁判,CNA,Taiwan,quality,裁判/N;主审/N;担任/N;名/N;南韩队/N;但是/C,"""<small>资深 国际 裁判 刘 炎枝 指出 , 中华 、 南韩</small> 之 战 排定 古巴籍 <u>裁判</u><sup>5.709</sup> <u>担任</u><sup>2.079</sup> <u>主审</u><sup>5.084</sup> , 这 <u>名</u><sup>1.248</sup> <span class='target'>裁判</span> 是 <u>南韩队</u><sup>3.251</sup> 中 意 的 人选 , <u>但是</u><sup>1.115</sup> 因为 这 <small>名 裁判 较 预定 时间 迟到 一 天 到达 札幌</small>""",1.36682692767244,-0.344105930430879,NA,NA
裁判/N/CNA_CMN_19990412_wpr/39640,裁判/N/CNA_CMN_19990412_wpr/39640,裁判,CNA,Taiwan,quality,兼/V;名单/N;球员/N;争议/N,"""<small>质疑 回收率 明显 偏低 。 而 立委 要求 经济部 提供</small> 科 计画 审核 委员 <u>名单</u><sup>1.296</sup> , 以免 造成 <u>球员</u><sup>3.304</sup> <u>兼</u><sup>2.356</sup> <span class='target'>裁判</span> 的 <u>争议</u><sup>2.094</sup> 。 事实 上 , 包括 国民党籍 立委 侯惠仙 <small>( 云林县 ) 、 丁 守 中 ( 台北市 )</small>""",-2.5227793057697,-2.80560136383301,NA,NA
裁判/N/XIN_CMN_19980608_wpr/37329,裁判/N/XIN_CMN_19980608_wpr/37329,裁判,XIN,Mainland,quality,甲级/N;联赛/N;动作/N;粗野/V;偏袒/N;巴西队/N;踢/V,"""<small>, 意大利队 虽然 拥有 世界 最 出色 的 中场 队员皮</small> 耶罗 , 但 意 <u>甲级</u><sup>2.425</sup> <u>联赛</u><sup>2.414</sup> 的 <u>粗野</u><sup>5.098</sup> <u>动作</u><sup>2.865</sup> 和 <span class='target'>裁判</span> 的 <u>偏袒</u><sup>5.159</sup> “ 让 人 恶心 ” 。 <u>巴西队</u><sup>1.99</sup> <u>踢</u><sup>2.771</sup> <small>得 漂亮 , 但 四 次 夺冠 , “ 让</small>""",-0.811874593298912,2.29519607712297,NA,NA
裁判/N/CNA_CMN_20020613_wpr/122126,裁判/N/CNA_CMN_20020613_wpr/122126,裁判,CNA,Taiwan,quality,足球/N;因/C;场/N;红牌/N;场/N;板凳/N,"""<small>「 风 之 子 」 的 卡尼佳 羞辱 中 结束</small> 了 自己 的 <u>足球</u><sup>2.768</sup> 生涯 , 他 <u>因</u><sup>1.328</sup> <u>场</u><sup>1.975</sup> 内 <span class='target'>裁判</span> 不敬 而 <u>红牌</u><sup>5.76</sup> 驱离 <u>板凳</u><sup>2.278</sup> 。 在下 半 <u>场</u><sup>1.975</sup> 一 <small>开始 , 巴提斯图塔 替换 下场 , 现年 三 十三 岁</small>""",0.551941140553041,4.23274865558375,NA,NA
裁判/N/XIN_CMN_20020120_wpr/30917,裁判/N/XIN_CMN_20020120_wpr/30917,裁判,XIN,Mainland,quality,裁判/N;球员/N;足球/N;理解/N;判罚/V,"""<small>所以 犯 错误 是 难免 的 。 裁判 , 米卢</small> 认为 , <u>球员</u><sup>3.304</sup> 学会 适应 <u>裁判</u><sup>5.709</sup> , 而 是 让 <span class='target'>裁判</span> 你 的 <u>理解</u><sup>1.287</sup> <u>判罚</u><sup>6.808</sup> 。 <u>足球</u><sup>2.768</sup> 可以 放松 神经 , <small>它 动作 复杂 、 , 适应 赛场 , 基本功 和</small>""",1.50444656048668,-0.089010300507939,NA,NA
裁判/N/XIN_CMN_19941202_wpr/49993,裁判/N/XIN_CMN_19941202_wpr/49993,裁判,XIN,Mainland,quality,赛/V;场/N;糟糕/V;马特乌斯/N,"""<small>“ 这 是 我 15 年 的 职业 足球 生涯</small> 中 见到 的 最 <u>糟糕</u><sup>2.102</sup> 的 一 <u>场</u><sup>1.975</sup> <u>赛</u><sup>2.067</sup> 。 <span class='target'>裁判</span> 肯定 得到 卡尔斯 鲁赫队 的 特别 大奖 。 ” <u>马特乌斯</u><sup>3.577</sup> <small>后来 他 说 的 这 番 话 表示 抱歉 ,</small>""",-3.7255774357393,2.50957536646462,NA,NA
裁判/N/XIN_CMN_20041215_wpr/9307,裁判/N/XIN_CMN_20041215_wpr/9307,裁判,XIN,Mainland,quality,裁判/N;贝克/N;,"""<small>10 % 。 英超 虽 推行 职业 裁判 , 但</small> 允许 <u>裁判</u><sup>5.709</sup> 保留 的 其他 工作 。 <u>贝克</u><sup>1.591</sup> 认为 , <span class='target'>裁判</span> 的 收入 足够 保障 他们 放弃 其他 工作 , 全 <small>身心 投入到 比赛 执 法 中 。 这 一 直接</small>""",1.72300129944907,-1.42914138196075,3,in
裁判/N/CNA_CMN_19950706_wpr/96682,裁判/N/CNA_CMN_19950706_wpr/96682,裁判,CNA,Taiwan,quality,案件/N;处分/N;确定/N,"""<small>滴水不漏 , 防止 外流 。 调查局 提报 的 资料 ,</small> 每 一 烟毒 <u>案件</u><sup>1.794</sup> 缉获 毒品 移送 保管 , 到 <span class='target'>裁判</span> <u>确定</u><sup>1.637</sup> 命令 <u>处分</u><sup>1.472</sup> 公开 销燬 , 期限 约 二 年 <small>以上 , 增加 烟毒 保管 工作 负荷 外 , 整体</small>""",6.81769298520273,-1.05066024846478,NA,NA
