"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"长传/N/XIN_CMN_19990614_wpr/5746","长传/N/XIN_CMN_19990614_wpr/5746","长传","XIN","Mainland","quality","结束/N;接/V;前/N;18/N","""<small>和 对方 展开 了 快攻 和 远投 的 较量 。</small> 第三 节 <u>结束</u><sup>1.292</sup> <u>前</u><sup>2.03</sup> , 姚明 跑动 中 <u>接</u><sup>4.659</sup> 范斌 <span class='target'>长传</span> , 做 了 一 个 <u>18</u><sup>1.53</sup> 0 度 转身 背对 <small>篮筐 的 勾手 上篮 , 使 全 场 气氛 达到</small>""",1.59996195489044,-30.4710618888373,NA
"横传/N/CNA_CMN_20020511_wpr/120233","横传/N/CNA_CMN_20020511_wpr/120233","横传","CNA","Taiwan","quality","队友/N;球门/N;入网/N;槌/N;门将/N;接应/V;射门/V;头/N;队/N","""<small>戏法 才 三 一 反败为胜 。 宿茂臻 第七十八 分钟 展开</small> <u>球门</u><sup>5.698</sup> 的 攻势 , 他 获得 左翼 的 <u>队友</u><sup>6.089</sup> 吴承瑛 <span class='target'>横传</span> <u>接应</u><sup>7.57</sup> , <u>头</u><sup>3.875</sup> <u>槌</u><sup>7.836</sup> <u>射门</u><sup>6.141</sup> <u>入网</u><sup>6.507</sup> , 泰国 <u>队</u><sup>2.47</sup> <u>门将</u><sup>5.864</sup> <small>奇提沙克 伸手 拦阻 不及 。 两 分钟 后 , 宿茂臻</small>""",-32.4052527883086,-22.2412554535112,NA
"长传/N/XIN_CMN_19990228_wpr/15048","长传/N/XIN_CMN_19990228_wpr/15048","长传","XIN","Mainland","quality","分钟/N;队友/N;八一/N;中场/N;队/N;八一/N;后/N;反击/V;队/N","""<small>八一 队 马庆 中 路接 角球 抢点推射 下 一 城</small> 。 第40 <u>分钟</u><sup>4.706</sup> , <u>八一</u><sup>3.554</sup> <u>队</u><sup>2.913</sup> <u>中场</u><sup>5.945</sup> 灵魂 潘毅接 <u>队友</u><sup>5.956</sup> <span class='target'>长传</span> <u>反击</u><sup>6.169</sup> 得手 。 这 是 <u>八一</u><sup>3.554</sup> <u>队</u><sup>2.913</sup> 柳州 获胜 <u>后</u><sup>1.121</sup> <small>, 又 一 次 战胜 这 支 拥有 名 国脚</small>""",12.8908187292306,18.3515522992213,NA
"长传/N/XIN_CMN_19950126_wpr/20236","长传/N/XIN_CMN_19950126_wpr/20236","长传","XIN","Mainland","quality","分钟/N;门/N;队友/N;开赛/N;接/V;前/N;守门员/N;晃过/V;后/N;射门/V;对方/N;禁区/N;球/N;得分/N","""<small>中 1 : 0 胜 加拿大队 。 下 半 场</small> <u>开赛</u><sup>3.436</sup> 7 <u>分钟</u><sup>4.706</sup> , 丹麦队 汉森 <u>门</u><sup>3.073</sup> <u>前</u><sup>2.03</sup> <u>接</u><sup>4.659</sup> <u>队友</u><sup>5.956</sup> <span class='target'>长传</span> , <u>球</u><sup>4.654</sup> 带入 <u>禁区</u><sup>6.149</sup> <u>后</u><sup>1.121</sup> <u>晃过</u><sup>6.907</sup> <u>对方</u><sup>4.809</sup> <u>守门员</u><sup>5.551</sup> <u>射门</u><sup>5.102</sup> <u>得分</u><sup>4.551</sup> <small>, 这 是 丹麦队 下 半 场 唯一 的 射门</small>""",-0.624352909255785,-5.92769907864322,NA
"传中/N/XIN_CMN_19951202_wpr/29771","传中/N/XIN_CMN_19951202_wpr/29771","传中","XIN","Mainland","quality","底/N;号/N;下/V;后/N;球/N;头/N;内/N;破门/N;球/N","""<small>, 球 打 门柱 上 弹回 , 年 仅 16</small> 岁 的 22 <u>号</u><sup>3.935</sup> 商毅 抢到 <u>球</u><sup>5.604</sup> <u>后</u><sup>1.555</sup> <u>下</u><sup>4.205</sup> <u>底</u><sup>3.192</sup> <span class='target'>传中</span> , 张效瑞 禁 区 <u>内</u><sup>1.379</sup> <u>头</u><sup>4.348</sup> <u>球</u><sup>5.604</sup> <u>破门</u><sup>6.736</sup> 。 全 <small>场 比赛 结束 时 , 9 号 李金羽 接 同伴</small>""",-29.816778802303,-0.847865338652769,7
"长传/N/XIN_CMN_19980619_wpr/31674","长传/N/XIN_CMN_19980619_wpr/31674","长传","XIN","Mainland","quality","而且/C;脚/N;前/N;场/N;球/N;对方/N;球/N","""<small>说 , 场 上 出现 的 情况 是 , 意大利队</small> 急于 <u>球</u><sup>4.654</sup> 大 <u>脚</u><sup>5.011</sup> 踢到 <u>前</u><sup>2.03</sup> <u>场</u><sup>2.717</sup> , <u>而且</u><sup>1.18</sup> 直线 <span class='target'>长传</span> 太多 , 可以 控制住 <u>球</u><sup>4.654</sup> , 吸引 <u>对方</u><sup>4.809</sup> 向前 。 <small>意大利队 控制 球 的 功夫 够 , 减 慢 速度</small>""",0.508638892630236,10.8442736084951,NA
"传中/N/XIN_CMN_19940424_wpr/8759","传中/N/XIN_CMN_19940424_wpr/8759","传中","XIN","Mainland","quality","号/N;5/N;攻门/V;纪录/N;头/N;球/N;首开/V","""<small>十分 活跃 。 开赛 六 分钟 , 国家 集训 队</small> 回 沪 加盟 的 <u>5</u><sup>1.079</sup> <u>号</u><sup>3.935</sup> 范志毅接 到 瓦洛佳 左边 <span class='target'>传中</span> <u>球</u><sup>5.604</sup> , 飞 身 跃起 <u>头</u><sup>4.348</sup> <u>球</u><sup>5.604</sup> <u>攻门</u><sup>7.111</sup> <u>首开</u><sup>5.769</sup> <u>纪录</u><sup>2.273</sup> <small>。 16 分钟 时 , 11 号 李晓 中 路</small>""",-31.9835597262036,-5.77758161315595,NA
"横传/N/CNA_CMN_20020622_wpr/87135","横传/N/CNA_CMN_20020622_wpr/87135","横传","CNA","Taiwan","quality","前锋/N;西班牙/N;槌/N;头/N","""<small>犯规 哨音 。 延长赛 开始 后 才 两 分钟 ,</small> <u>西班牙</u><sup>2.858</sup> <u>前锋</u><sup>5.108</sup> 莫瑞安提 斯 ( Fernando Morientes ) 接获 璜奎恩 <span class='target'>横传</span> , <u>头</u><sup>3.875</sup> <u>槌</u><sup>7.836</sup> 破网 , 但 因为 助理 裁判 举旗 <small>而 算 。 助理 裁判 是 误以为 球 出 了</small>""",-43.008860612989,-16.7020990412123,4
"长传/N/CNA_CMN_19940805_wpr/39988","长传/N/CNA_CMN_19940805_wpr/39988","长传","CNA","Taiwan","quality",";但是/C;快攻/V","""<small>大陆队 , 郑武 禁区 投进 关键性 的 两 分 ,</small> 而 巴西队 战成 七十七 七十七 平手 。 这时 巴西队 虽然 <span class='target'>长传</span> <u>快攻</u><sup>6.664</sup> , <u>但是</u><sup>1.14</sup> 记录台 更正 裁判 的 判决 , 认为 <small>是 枪响 后进网 得分 算 , 比赛 因而 进入 延</small>""",39.6269403599739,17.3489827593544,NA
"长传/N/CNA_CMN_20021224_wpr/141262","长传/N/CNA_CMN_20021224_wpr/141262","长传","CNA","Taiwan","quality","四分卫/N;码/N;达阵/V","""<small>球赛 钢铁人 队 可谓 压 着 海盗 打 , 第一</small> 节 予取予求 , 胜券 底定 。 钢铁人 <u>四分卫</u><sup>7.511</sup> 马道 斯 <span class='target'>长传</span> 外接员 厄尔 , 厄尔 跑阵 十一 <u>码</u><sup>4.069</sup> <u>达阵</u><sup>7.57</sup> , 加上 <small>加踢 , 钢铁人 七 0 首开 纪录 ; 四十一秒 之后</small>""",-24.2636265572555,23.6373891737164,NA
"横传/N/CNA_CMN_20020612_wpr/240","横传/N/CNA_CMN_20020612_wpr/240","横传","CNA","Taiwan","quality","右翼/N;记/N;门/N;前/N;禁区/N","""<small>, 上 半 场 七 分钟 时 , 爱队 后卫</small> 凯利 ( Gary Kelly ) <u>右翼</u><sup>5.149</sup> 一 <u>记</u><sup>4.845</sup> 漂亮 的 <span class='target'>横传</span> 助攻 , 吊 进 沙乌地阿拉伯 <u>门</u><sup>4.486</sup> <u>前</u><sup>2.403</sup> <u>禁区</u><sup>6.717</sup> , 基恩 <small>空 切 而 入 , 起 右 足 劲射 ,</small>""",-21.8414780331512,-37.7024196952675,NA
