,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
越位/V/XIN_CMN_19980126_wpr/28096,越位/V/XIN_CMN_19980126_wpr/28096,越位,XIN,Mainland,quality,但/C;裁判员/N;判为/V;攻进/V;队/N;球/N;分钟/N;后/N;队/N,"""<small>观赛 的 当地 球迷 鼓舞 。 3 2 分钟 时</small> , 斯蒂夫尼奇 <u>队</u><sup>2.526</sup> <u>攻进</u><sup>4.956</sup> 一 <u>球</u><sup>4.938</sup> , <u>但</u><sup>1.664</sup> <u>裁判员</u><sup>4.553</sup> <u>判为</u><sup>7.039</sup> <span class='target'>越位</span> 。 一 <u>分钟</u><sup>4.676</sup> <u>后</u><sup>1.054</sup> 该 <u>队</u><sup>2.526</sup> “ 卷土重来 ” , <small>围攻 纽卡斯尔队 大门 , 加 ・ 克劳希尔 一 记 相当</small>""",8.17237808031101,14.8935892338908,NA,NA
越位/V/XIN_CMN_20010405_wpr/66830,越位/V/XIN_CMN_20010405_wpr/66830,越位,XIN,Mainland,quality,分钟/N;前锋/N;优势/N;8/N;号/N;成功/V;轻松/V;进/V;球/N,"""<small>守门员 化解 。 易边 战后 , 巴林队 占据 了 场</small> 上 的 <u>优势</u><sup>1.507</sup> 。 第五十 六 <u>分钟</u><sup>4.676</sup> , 巴林队 <u>前锋</u><sup>4.887</sup> <span class='target'>越位</span> <u>成功</u><sup>4.127</sup> , <u>8</u><sup>1.698</sup> <u>号</u><sup>2.726</sup> 杜斯 里 <u>球</u><sup>4.938</sup> <u>轻松</u><sup>3.589</sup> 扫 <u>进</u><sup>2.086</sup> <small>球门 。 失球 后 , 黎巴嫩队 换上 了 几 名</small>""",0.712357531975888,-16.327047454121,1,in
越位/V/CNA_CMN_19940309_wpr/53641,越位/V/CNA_CMN_19940309_wpr/53641,越位,CNA,Taiwan,quality,而/C;尽职/V;政协/N,"""<small>参政 议政 的 作用 。 「 台湾 同胞 联谊会 」</small> 的 杨思泽 委员 表示 , 做 到 「 <u>尽职</u><sup>6.425</sup> <u>而</u><sup>1.203</sup> <span class='target'>越位</span> 」 很 难 , 「 <u>政协</u><sup>1.767</sup> 委员 」 提出 意见 <small>没 人 理会 。 「 政协 经济界 副团长 」 刘豹</small>""",-57.6125274664386,-16.3699850274263,NA,NA
越位/V/CNA_CMN_20020616_wpr/95739,越位/V/CNA_CMN_20020616_wpr/95739,越位,CNA,Taiwan,quality,多达/V;半/N;西班牙/N;次/N;场/N;破坏力/N;奇大/V;莫瑞安提/N;斯/N;劳尔/N;Raul/F,"""<small>防线 优异 的 默契 , 频频 制造 位 陷阱 ,</small> 上 <u>半</u><sup>2.338</sup> <u>场</u><sup>2.195</sup> 让 <u>西班牙</u><sup>1.916</sup> 有 <u>多达</u><sup>3.101</sup> 九 <u>次</u><sup>1.442</sup> 的 <span class='target'>越位</span> , 是 <u>破坏力</u><sup>5.951</sup> <u>奇大</u><sup>7.823</sup> 的 <u>莫瑞安提</u><sup>8.265</sup> <u>斯</u><sup>1.796</sup> <u>劳尔</u><sup>6.367</sup> ( <u>Raul</u><sup>8.942</sup> <small>Gonzales ) , 多 次 陷入 越位 陷阱 , 错失</small>""",-40.7541695403884,41.9404903182308,7,in
越位/V/XIN_CMN_19970831_wpr/741,越位/V/XIN_CMN_19970831_wpr/741,越位,XIN,Mainland,quality,分钟/N;海狮队/N;时/N;后/N;造/V;队友/N;接/V;传/V;后/N;失误/N;球/N,"""<small>级 形势 转好 。 今天 万科队 占据 了 场 上主</small> 动 。 第四 <u>分钟</u><sup>4.676</sup> <u>时</u><sup>1.419</sup> , <u>海狮队</u><sup>5.335</sup> <u>后</u><sup>1.054</sup> 卫 <u>造</u><sup>3.917</sup> <span class='target'>越位</span> <u>失误</u><sup>4.536</sup> , 万科队 比希 其 <u>接</u><sup>2.555</sup> <u>队友</u><sup>4.068</sup> <u>传</u><sup>2.186</sup> <u>球</u><sup>4.938</sup> <u>后</u><sup>1.054</sup> <small>单刀赴会 , 下 一 城 。 第二十七 分钟 时 ,</small>""",7.34277008752081,-18.5708220311948,NA,NA
越位/V/XIN_CMN_20020613_wpr/20614,越位/V/XIN_CMN_20020613_wpr/20614,越位,XIN,Mainland,quality,7/N;犯规/V;14/N;角球/N;点/N;6/N;球/N;15/N;控球/N;47/N;53/N;黄/N;1/N;红牌/N;乌龙球/N;%/N;时间/N,"""<small>: 哥斯达黎加队 巴西队 进球 2 5 射门 17 12 射</small> 正9 <u>7</u><sup>1.615</sup> <u>犯规</u><sup>6.325</sup> <u>15</u><sup>1.36</sup> <u>6</u><sup>1.401</sup> <u>角球</u><sup>6.974</sup> <u>14</u><sup>1.616</sup> <u>6</u><sup>1.401</sup> <u>点</u><sup>1.834</sup> <u>球</u><sup>4.938</sup> <span class='target'>越位</span> <u>乌龙球</u><sup>9.011</sup> <u>黄</u><sup>4.051</sup> 牌0 <u>1</u><sup>1.358</sup> <u>红牌</u><sup>6.753</sup> <u>控球</u><sup>7.494</sup> <u>时间</u><sup>1.931</sup> <u>47</u><sup>3.15</sup> <u>%</u><sup>1.631</sup> <u>53</u><sup>3.358</sup> <small>% 国际足联 球场 空席 问题 作出 解释 国际足联 书 长</small>""",14.3410942743006,-53.7799788678281,NA,NA
越位/V/CNA_CMN_20020603_wpr/107560,越位/V/CNA_CMN_20020603_wpr/107560,越位,CNA,Taiwan,quality,方/N;成/V;对方/N;前锋/N;场/N,"""<small>─ 2 队形 ) 基本 上 是 后卫 三 名</small> <u>成</u><sup>1.104</sup> 一 列 同时 前进 后退 , 使 <u>方</u><sup>1.174</sup> 陷于 <span class='target'>越位</span> 缩小 <u>对方</u><sup>4.479</sup> <u>前锋</u><sup>4.887</sup> 活动 空间 , <u>前锋</u><sup>4.887</sup> 中 <u>场</u><sup>2.195</sup> 接近 <small>对方 球门 夺球 进攻 , 是 种 攻击性 的 守备</small>""",14.7697905244793,0.954156254670377,NA,NA
越位/V/CNA_CMN_20020616_wpr/96839,越位/V/CNA_CMN_20020616_wpr/96839,越位,CNA,Taiwan,quality,进球/N;因为/C;半/N;次/N;场/N;分钟/N;而/C;半/N;场/N;取消/V;在先/V,"""<small>越位 陷阱 , 错失 了 不少 机会 。 西班牙 上</small> 、 下 <u>半</u><sup>2.338</sup> <u>场</u><sup>2.195</sup> 各 有 一 <u>次</u><sup>1.442</sup> <u>进球</u><sup>5.715</sup> <u>因为</u><sup>1.02</sup> <span class='target'>越位</span> <u>在先</u><sup>7.502</sup> <u>而</u><sup>1.203</sup> <u>取消</u><sup>1.821</sup> 。 上 <u>半</u><sup>2.338</sup> <u>场</u><sup>2.195</sup> 二十五 <u>分钟</u><sup>4.676</sup> , <small>莫瑞安提 斯 门 前 头顶 短传给 恩瑞克 ( Luis Enrique</small>""",-24.9340511145974,12.0316926161053,NA,NA
越位/V/XIN_CMN_19981004_wpr/5111,越位/V/XIN_CMN_19981004_wpr/5111,越位,XIN,Mainland,quality,反/V;号/N;结束/N;球员/N;14/N;替补/N;前/N;比赛/N;0/N;扩大为/V;成功/V;2/N;分/V;单刀/N,"""<small>威胁 的 进攻 越位 而 中途 夭折 。 松日队 临</small> <u>比赛</u><sup>1.979</sup> <u>结束</u><sup>1.699</sup> <u>前</u><sup>1.257</sup> 海牛队 <u>替补</u><sup>4.844</sup> <u>球员</u><sup>3.136</sup> <u>14</u><sup>1.616</sup> <u>号</u><sup>2.726</sup> 王伟 <u>反</u><sup>3.137</sup> <span class='target'>越位</span> <u>成功</u><sup>4.127</sup> , <u>单刀</u><sup>7.122</sup> 直人 <u>分</u><sup>1.961</sup> <u>扩大为</u><sup>4.419</sup> <u>2</u><sup>2.017</sup> : <u>0</u><sup>2.329</sup> 。 <small>4 名 英国人 车臣 绑架 新华社 莫斯科 10月 4日 电</small>""",-2.59164806539412,-10.0430857069941,NA,NA
越位/V/XIN_CMN_20020613_wpr/49381,越位/V/XIN_CMN_20020613_wpr/49381,越位,XIN,Mainland,quality,5/N;犯规/V;角球/N;点/N;21/N;射/V;18/N;球/N;10/N;控球/N;48/N;黄/N;2/N;红牌/N;乌龙球/N;%/N;时间/N;52/N,"""<small>技术 统计 下 : 厄瓜多尔队 克罗地亚队 进 球 射门 10</small> <u>10</u><sup>1.237</sup> <u>射</u><sup>5.363</sup> 正4 <u>5</u><sup>1.425</sup> <u>犯规</u><sup>6.325</sup> <u>21</u><sup>1.236</sup> <u>18</u><sup>1.937</sup> <u>角球</u><sup>6.974</sup> <u>点</u><sup>1.834</sup> <u>球</u><sup>4.938</sup> <span class='target'>越位</span> <u>乌龙球</u><sup>9.011</sup> <u>黄</u><sup>4.051</sup> 牌1 <u>2</u><sup>2.017</sup> <u>红牌</u><sup>6.753</sup> <u>控球</u><sup>7.494</sup> <u>时间</u><sup>1.931</sup> <u>52</u><sup>2.808</sup> <u>%</u><sup>1.631</sup> <u>48</u><sup>2.603</sup> <small>% 阿富汗 大 国民 会议 投票 选举 过渡 政府 领导人</small>""",19.6736994185582,-41.6032200921971,6,in
