"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"角球/N/CNA_CMN_20020531_wpr/170146","角球/N/CNA_CMN_20020531_wpr/170146","角球","CNA","Taiwan","quality","塞内加尔/N;没/V;角球/N;次/N;机会/N;获得/V;塞内加尔/N;威胁/N;角球/N","""<small>了 塞内加尔 这 一 边 。 这 场 比赛 法国队</small> <u>获得</u><sup>2.932</sup> 六 <u>次</u><sup>2.503</sup> <u>角球</u><sup>6.972</sup> <u>机会</u><sup>4.384</sup> , <u>塞内加尔</u><sup>2.753</sup> <u>没</u><sup>1.088</sup> 有 任何 <span class='target'>角球</span> , 但 席丹 缺阵 , <u>角球</u><sup>6.972</sup> 不但 <u>塞内加尔</u><sup>2.753</sup> 造成 <u>威胁</u><sup>2.38</sup> <small>, 反而 紧守 城池 即可 获得 最后 胜利 。 塞内加尔</small>""",0.127498245935752,-52.3828356420649,6
"角球/N/XIN_CMN_20020603_wpr/17743","角球/N/XIN_CMN_20020603_wpr/17743","角球","XIN","Mainland","quality","主罚/V;时/N;踢/V;球/N;土耳其队/N;后者/N","""<small>改写为 2 : 1 。 全 场 比赛 的 补</small> <u>时</u><sup>1.893</sup> 阶段 , <u>土耳其队</u><sup>4.129</sup> 后卫号 温萨尔 <u>球</u><sup>4.985</sup> <u>踢</u><sup>4.415</sup> 准备 <u>主罚</u><sup>6.16</sup> <span class='target'>角球</span> 的 里 瓦尔多 身 上 , <u>后者</u><sup>2.639</sup> 掩面 倒地 , <small>结果 当值主 裁判 金永洙 温萨尔 出示 了 本 场 比赛</small>""",-29.3270171643166,-33.8375138354537,NA
"角球/N/XIN_CMN_20000917_wpr/1904","角球/N/XIN_CMN_20000917_wpr/1904","角球","XIN","Mainland","quality","美国队/N;上半场/N;次/N;获得/N;一/N;下/N;攻进/V;球/N","""<small>进攻 , 但 美国队 很 快 进入 状态 , 并</small> 开始 控制 场上 局势 。 <u>上半场</u><sup>5.244</sup> <u>美国队</u><sup>3.188</sup> 几 <u>次</u><sup>2.503</sup> <u>获得</u><sup>3.216</sup> <span class='target'>角球</span> , 并 <u>攻进</u><sup>5.023</sup> <u>一</u><sup>1.081</sup> <u>球</u><sup>4.985</sup> 。 他 说 , <u>下</u><sup>1.182</sup> <small>半 场 虽然 中国队 进行 了 调整 , 但 美国队</small>""",4.06136355839056,-31.8453243745313,NA
"角球/N/XIN_CMN_19930617_wpr/54866","角球/N/XIN_CMN_19930617_wpr/54866","角球","XIN","Mainland","quality","分钟/N;13/N;剩/V;时/N;结束/N;中国队/N;次/N;洪波/N;8/N;号/N;黎兵/N;6/N;机会/N","""<small>, 分 追成 1 : 2 。 全 场 比赛</small> <u>结束</u><sup>1.768</sup> <u>剩</u><sup>2.158</sup> <u>13</u><sup>1.939</sup> <u>分钟</u><sup>5.284</sup> <u>时</u><sup>1.893</sup> , <u>中国队</u><sup>3.712</sup> 觅得 两 <u>次</u><sup>2.503</sup> <span class='target'>角球</span> <u>机会</u><sup>4.384</sup> , <u>6</u><sup>2.036</sup> <u>号</u><sup>3.293</sup> <u>黎兵</u><sup>5.368</sup> 和 <u>8</u><sup>2.132</sup> <u>号</u><sup>3.293</sup> 高 <u>洪波</u><sup>4.373</sup> <small>球 攻入 网 内 。 中国队 6 号 黎兵 评为</small>""",29.8750861580343,-1.9062423590382,NA
"角球/N/XIN_CMN_19990111_wpr/49571","角球/N/XIN_CMN_19990111_wpr/49571","角球","XIN","Mainland","quality","利用/V;分钟/N;时/N;发/V;场/N;比赛/N;进行到/V;分扳/N;头/N;前锋/N;破门/N;机会/N;球/N","""<small>对手 的 打法 , 方 大门 发动 了 多次 进攻</small> , 全 <u>场</u><sup>2.471</sup> <u>比赛</u><sup>1.944</sup> <u>进行到</u><sup>5.575</sup> 75 <u>分钟</u><sup>5.284</sup> <u>时</u><sup>1.893</sup> <u>利用</u><sup>3.365</sup> <u>发</u><sup>2.277</sup> <span class='target'>角球</span> 的 <u>机会</u><sup>4.384</sup> , <u>前锋</u><sup>4.526</sup> 格拉尔 <u>头</u><sup>4.178</sup> <u>球</u><sup>4.985</sup> <u>破门</u><sup>6.182</sup> , <u>分扳</u><sup>6.137</sup> <small>平 。 B 组 中 乌拉圭队 目前 两 战 两</small>""",9.51929848371581,1.07969026835997,4
"角球/N/CNA_CMN_19980708_wpr/25922","角球/N/CNA_CMN_19980708_wpr/25922","角球","CNA","Taiwan","quality","分钟/N;制造/V;球门/N;内/N;连/C","""<small>场 有如 橘色 郁金香 盛放 , 佈 阵 围攻 巴西</small> <u>球门</u><sup>6.029</sup> , 十 <u>分钟</u><sup>5.284</sup> 之 <u>内</u><sup>1.136</sup> <u>制造</u><sup>2.648</sup> 了 五 个 <span class='target'>角球</span> , 塔法瑞尔 机警 过人 , <u>连</u><sup>1.087</sup> 挡带接 , 化 解 <small>了 多 次 危机 。 乱军 中 , 巴西队 抢到</small>""",2.26550090353266,18.792516152029,1
"角球/N/XIN_CMN_20020602_wpr/8595","角球/N/XIN_CMN_20020602_wpr/8595","角球","XIN","Mainland","quality","20/N;7/N;进球/N;犯规/V;2/N;16/N;射门/V;射/V;黄牌/N;任意球/N;4/N;1/N;2/N;乌龙球/N;11/N;越位/V;点/N;球/N","""<small>获胜 。 双方 技术 统计 结果 如下 : 阿根廷队 尼日利亚队</small> <u>进球</u><sup>4.65</sup> <u>射门</u><sup>6.632</sup> <u>20</u><sup>1.42</sup> <u>7</u><sup>2.188</sup> <u>射</u><sup>4.878</sup> 正9 <u>2</u><sup>2.147</sup> <u>犯规</u><sup>5.351</sup> <u>16</u><sup>1.764</sup> <u>20</u><sup>1.42</sup> <span class='target'>角球</span> <u>11</u><sup>2.41</sup> <u>4</u><sup>2.01</sup> <u>任意球</u><sup>6.848</sup> <u>点</u><sup>1.491</sup> <u>球</u><sup>4.985</sup> <u>越位</u><sup>6.974</sup> <u>乌龙球</u><sup>8.074</sup> <u>黄牌</u><sup>5.014</sup> <u>2</u><sup>2.147</sup> <u>1</u><sup>1.692</sup> <small>红牌 控球 时间 55 % 45 % 印度 国防部长 说</small>""",-38.1195877023632,-9.59033969882148,NA
"角球/N/XIN_CMN_20000524_wpr/5134","角球/N/XIN_CMN_20000524_wpr/5134","角球","XIN","Mainland","quality","判/V;当时/N;对方/N;平安队/N;发/V;裁判/N;当时/N;点球/N;判罚/V","""<small>队员 实德队 门 前 踩住 了 球 , 但 随后</small> <u>对方</u><sup>4.221</sup> 守门 员 扑倒 。 裁判 <u>当时</u><sup>1.07</sup> <u>判</u><sup>1.557</sup> <u>平安队</u><sup>4.893</sup> <u>发</u><sup>2.277</sup> <span class='target'>角球</span> , 中国 足协 <u>裁判</u><sup>2.566</sup> 委员会 认为 <u>当时</u><sup>1.07</sup> <u>判罚</u><sup>4.06</sup> <u>点球</u><sup>4.649</sup> 。 <small>黄钢 分析 了 北京 国安队 客场 和 重庆 隆鑫队 第十</small>""",-39.8864791976756,-25.7310720138549,NA
"角球/N/CNA_CMN_20020622_wpr/64378","角球/N/CNA_CMN_20020622_wpr/64378","角球","CNA","Taiwan","quality","得/V;一/N;分机/N;开/V;次/N;挡/V;射门/V;后卫/N;下/N","""<small>两 次 头锤 越过 门楣 。 南韩 第六十七 分钟 ,</small> 有 <u>一</u><sup>1.081</sup> <u>次</u><sup>2.503</sup> 相当 好 的 <u>得</u><sup>2.58</sup> <u>分机</u><sup>5.288</sup> , <u>开</u><sup>1.717</sup> <span class='target'>角球</span> 之后 , 李天秀 <u>射门</u><sup>6.632</sup> , 西班牙 <u>后卫</u><sup>4.988</sup> <u>挡</u><sup>3.161</sup> <u>下</u><sup>1.182</sup> , <small>球 落 朴智星 的 脚 下 , 补上 一 脚</small>""",-16.7885914415181,-16.3802221724364,NA
"角球/N/CNA_CMN_20020508_wpr/99965","角球/N/CNA_CMN_20020508_wpr/99965","角球","CNA","Taiwan","quality","踢/V;惊险/V;机会/N","""<small>这 位 高瘦 前锋 球员 , 瞬间 右 脚 劲射</small> 的 功力 了得 , 如果 给 他 <u>踢</u><sup>4.415</sup> 自由球 与 <span class='target'>角球</span> 的 <u>机会</u><sup>4.384</sup> , 那 后果 是 <u>惊险</u><sup>3.666</sup> 万分 。 他 <small>十七 岁 国际 比赛 中 亮相 , 目前 是 巴拉圭国</small>""",-16.5266967000578,-40.7114556367983,NA
