,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
防线/N/CNA_CMN_20001221_wpr/162835,防线/N/CNA_CMN_20001221_wpr/162835,防线,CNA,Taiwan,quality,道/N;最后/N;正义/N;,"""<small>决定 。 蔡明华 强调 , 她 愿 新新闻 的 报导</small> 予以 动机 化 , 但是 <u>正义</u><sup>3.924</sup> 的 <u>最后</u><sup>2.836</sup> 一 <u>道</u><sup>5.196</sup> <span class='target'>防线</span> 法院 , 她 希望 法院 未定 案 前 , 外界 <small>定 副总统 的 罪 。 蔡明华 表示 , 目前 杨</small>""",4.86728610069678,-6.52603791732163,NA,NA
后卫/N/CNA_CMN_20020122_wpr/91647,后卫/N/CNA_CMN_20020122_wpr/91647,后卫,CNA,Taiwan,quality,双/N;本季/N;篮板/N;最多/V;不佳/V;奇德/N;前/N;出手/V,"""<small>本季 新高 , 马丁得 二十一 分 , 范洪有 十三 分</small> 和 <u>本季</u><sup>3.448</sup> <u>最多</u><sup>1.07</sup> 的 十五 个 <u>篮板</u><sup>4.102</sup> , 一 <u>双</u><sup>1.807</sup> <span class='target'>后卫</span> 演出 <u>不佳</u><sup>1.325</sup> , <u>奇德</u><sup>6.086</sup> <u>前</u><sup>1.403</sup> 十六 次 <u>出手</u><sup>3.171</sup> 无 一 <small>命中 , 全 场 十七 投 一 中 三 分</small>""",-5.63658619287991,0.283201914853097,NA,NA
后卫/N/XIN_CMN_20020506_wpr/24481,后卫/N/XIN_CMN_20020506_wpr/24481,后卫,XIN,Mainland,quality,・/F;诺/F;荷兰/N;德队/N;队员/N;7/N,"""<small>队 踢球 的 马廷 ・ 约 根 森 和 效力</small> <u>荷兰</u><sup>1.146</sup> 费耶 <u>诺</u><sup>2.297</sup> <u>德队</u><sup>3.325</sup> 的 <u>.</u><sup>3.047</sup> 达尔 <u>.</u><sup>3.047</sup> 托马森 。 <span class='target'>后卫</span> <u>队员</u><sup>3.432</sup> 比例 第二 大 , 占 <u>7</u><sup>1.431</sup> 人 , 其中 <small>名气 比较 大 的 是 两 名目 前 效力 意大利</small>""",-0.914136966344087,6.06239822728895,NA,NA
后卫/N/CNA_CMN_20020603_wpr/121543,后卫/N/CNA_CMN_20020603_wpr/121543,后卫,CNA,Taiwan,quality,名/N;鲁斯杜/N;攻破/V;防守/N,"""<small>加强 攻势 , 第五十 分钟 , 李瓦 度 左 路</small> 推进 , 大 脚传 中 , 罗纳多 三 <u>名</u><sup>1.344</sup> 土耳其 <span class='target'>后卫</span> 的 <u>防守</u><sup>4.526</sup> 下 , 飞 身侧踢 , <u>攻破</u><sup>3.636</sup> 了 <u>鲁斯杜</u><sup>6.207</sup> <small>的 十 指 大关 , 为 巴西 比数 扳平 。</small>""",2.20061356459189,-0.977504434662618,NA,NA
后卫/N/XIN_CMN_20000916_wpr/12755,后卫/N/XIN_CMN_20000916_wpr/12755,后卫,XIN,Mainland,quality,攻击/N;巴特尔/N;前锋/N;胡卫东/N;李楠/N;阵容/N;李晓勇/N;后卫/N;中锋/N,"""<small>了 四 套 阵容 : 第一 套 阵容 中锋 王治郅</small> 、 大 <u>前锋</u><sup>5.759</sup> <u>巴特尔</u><sup>3.554</sup> 、 小 <u>前锋</u><sup>5.759</sup> <u>胡卫东</u><sup>4.301</sup> 、 <u>攻击</u><sup>1.851</sup> <span class='target'>后卫</span> <u>李楠</u><sup>3.812</sup> 、 组织 <u>后卫</u><sup>6.097</sup> <u>李晓勇</u><sup>6.288</sup> ; 第二 套 <u>阵容</u><sup>3.827</sup> <u>中锋</u><sup>5.477</sup> <small>姚 明 、 大 前锋 刘玉栋 、 小 前锋 孙军</small>""",-1.74747424313158,2.32541906901318,NA,NA
后卫/N/XIN_CMN_19980703_wpr/5507,后卫/N/XIN_CMN_19980703_wpr/5507,后卫,XIN,Mainland,quality,士气/N;场/N;比赛/N;・/F;天才/N;前锋/N;德国队/N,"""<small>身体 条件 好 , 心理 上 有待 改善 , 至于</small> <u>士气</u><sup>1.38</sup> , 这 <u>场</u><sup>2.07</sup> <u>比赛</u><sup>1.696</sup> 的 重要性 足够 。 ” <span class='target'>后卫</span> 伊 <u>.</u><sup>3.047</sup> 斯蒂迈奇 说 : “ <u>德国队</u><sup>2.807</sup> 有 <u>天才</u><sup>1.657</sup> <u>前锋</u><sup>5.759</sup> <small>球员 , 克林斯曼 , 比埃尔霍夫 的 头 球 很 好</small>""",-1.28893437276732,3.72013926934308,NA,NA
防线/N/CNA_CMN_20020629_wpr/123884,防线/N/CNA_CMN_20020629_wpr/123884,防线,CNA,Taiwan,quality,最后/N;组成/V;,"""<small>崔振哲 拚战 数 场 脚踝 扭伤 且 体力 透支 ,</small> 今 晚 仅 洪明 率同 刘相铁 与 李敏成 <u>组成</u><sup>1.699</sup> <u>最后</u><sup>2.836</sup> <span class='target'>防线</span> , 彼此 手脚 搭配 不佳 , 南韩队 今晚 输给 土耳其 <small>的 三 球 , 为 后 卫 防守 漏洞 百出</small>""",4.65218993410395,-3.47956383440705,NA,NA
后卫/N/CNA_CMN_20020326_wpr/47957,后卫/N/CNA_CMN_20020326_wpr/47957,后卫,CNA,Taiwan,quality,罚/V;灰/N;熊队/N;禁赛/N;场/N;罚/V;NBA/F;威廉斯/N,"""<small>根据 规定 , 犯规 超过 五 次 , 每 次</small> <u>罚</u><sup>3.748</sup> <u>禁赛</u><sup>3.921</sup> 两 <u>场</u><sup>2.07</sup> 。 另外 , 孟斐斯 <u>灰</u><sup>3.254</sup> <u>熊队</u><sup>3.306</sup> <span class='target'>后卫</span> <u>威廉斯</u><sup>3.714</sup> , 今天 <u>NBA</u><sup>3.91</sup> <u>罚</u><sup>3.748</sup> 款 五千 美元 , 原因 <small>是 他 二十四 日 比赛 第三 节 驱逐出 场 时</small>""",-5.77340465751754,1.79844492540854,NA,NA
后卫/N/CNA_CMN_19991022_wpr/101820,后卫/N/CNA_CMN_19991022_wpr/101820,后卫,CNA,Taiwan,quality,位置/N;搭配/V;前锋/N;麦可/N;球员/N;篮板/N,"""<small>四 强 , 沙鱼队 姚 明 禁区 主力 , 郑志龙</small> 维持 他 的 小 <u>前锋</u><sup>5.759</sup> <u>位置</u><sup>2.972</sup> , <u>搭配</u><sup>1.525</sup> 章文琪 及 <span class='target'>后卫</span> <u>球员</u><sup>3.382</sup> <u>麦可</u><sup>2.184</sup> , 提升 沙鱼队 的 反击力 , 增加 <u>篮板</u><sup>4.102</sup> <small>, 提高 命中率 。 郑志龙 与 沙鱼 的 签 约期</small>""",-1.69746617860148,2.46976200428609,NA,NA
后卫/N/CNA_CMN_20020624_wpr/54966,后卫/N/CNA_CMN_20020624_wpr/54966,后卫,CNA,Taiwan,quality,码/N;射门/V;十二码球/N;场/N,"""<small>, 塞内加尔 球员 表演 挑 球 、 传球 、 十二</small> <u>码</u><sup>2.044</sup> <u>射门</u><sup>4.843</sup> 等 多 项 基 本 技巧 , 其中 <span class='target'>后卫</span> 柯利 小心 <u>十二码球</u><sup>5.12</sup> 射偏 , 引起 全 <u>场</u><sup>2.07</sup> 人士 大笑 <small>, 不过 梅祖 表示 , 因此 给予 惩罚 。 时间</small>""",2.26700191561195,0.235486874570766,NA,NA
