,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
开赛/N/XIN_CMN_19990324_wpr/15115,开赛/N/XIN_CMN_19990324_wpr/15115,开赛,XIN,Mainland,quality,第一/N;报名/V;天/N;前/N,"""<small>说 她 是 世界 冠军 参加 比赛 。 但 陆元盛</small> 说 , 这 个 名单 是 <u>第一</u><sup>1.446</sup> 次 <u>报名</u><sup>1.293</sup> , <span class='target'>开赛</span> <u>前</u><sup>1.384</sup> 10 <u>天</u><sup>1.431</sup> 更换 , 所以 杨影 , 若 想 <small>参赛 , 看 她 自己 近期 训练 中 的 表现</small>""",3.34451076285589,-1.04481036337036,NA,NA
开球/N/XIN_CMN_20010612_wpr/923,开球/N/XIN_CMN_20010612_wpr/923,开球,XIN,Mainland,quality,一共/D;联赛/N;轮/N;下午/N;即/V;减/V;周六/N;时间/N,"""<small>哈克曼 为首 的 联赛 联盟 董事会 今天 法兰 克福 召开</small> 会议 , 决定 现在 每 <u>轮</u><sup>1.885</sup> <u>联赛</u><sup>2.827</sup> <u>一共</u><sup>3.906</sup> 4 个 <span class='target'>开球</span> <u>时间</u><sup>1.809</sup> <u>减</u><sup>2.436</sup> 为 两 个 , <u>即</u><sup>1.872</sup> 每 <u>周六</u><sup>5.363</sup> <u>下午</u><sup>1.594</sup> <small>3 点 半 和 每 周日 晚上 5 点 半</small>""",0.983927059660386,1.08656751562604,NA,NA
开赛/N/XIN_CMN_19950220_wpr/10716,开赛/N/XIN_CMN_19950220_wpr/10716,开赛,XIN,Mainland,quality,大赛/N;杭州/N;新华社/N;20日电/N,"""<small>” 服务 的 满意率 首 次 超过 百 分 之</small> 九十 。 中国 及 亚太 地区 少 儿书 画 <u>大赛</u><sup>2.496</sup> <span class='target'>开赛</span> <u>新华社</u><sup>1.249</sup> <u>杭州</u><sup>1.098</sup> 2月 <u>20日电</u><sup>2.023</sup> ( 记者 慎海雄 通讯员 戴元 ) <small>中国 唯一 大众化 美育 报纸 《 美术报 》 和 中国</small>""",-0.613572232776541,-6.44993191199732,NA,NA
开球/V/XIN_CMN_19991208_wpr/10203,开球/V/XIN_CMN_19991208_wpr/10203,开球,XIN,Mainland,quality,站/N;保龄球/N;俱乐部/N;杯赛/N;比赛/N;全国/N;参赛/V,"""<small>开球 新华社 南京 12月 8日电 ( 陈奎邓德懿 ) ’ 99</small> 全 国 <u>保龄球</u><sup>4.153</sup> <u>俱乐部</u><sup>2.578</sup> <u>杯赛</u><sup>2.97</sup> 第四 <u>站</u><sup>2.295</sup> <u>比赛</u><sup>2.663</sup> 今天 这里 <span class='target'>开球</span> 。 <u>参赛</u><sup>2.022</sup> 的 有 来自 <u>全国</u><sup>1.289</sup> 各 地 的 24 <small>支 俱乐部队 近 200 人 , 他们 中 有 亚运会</small>""",-1.02104548410748,-3.47824720183357,NA,NA
开球/V/CNA_CMN_20010511_wpr/170810,开球/V/CNA_CMN_20010511_wpr/170810,开球,CNA,Taiwan,quality,接着/V;结束/N;潘圣平/N;二/N;领先/V;连/C;局/N;抓住/V;下/N;进/V;机会/N;球/N,"""<small>一 桿 进 九 号 球 , 前 十二 局</small> <u>结束</u><sup>1.27</sup> , <u>潘圣平</u><sup>8.323</sup> 十 <u>二</u><sup>1.255</sup> <u>领先</u><sup>3.388</sup> 。 <u>接着</u><sup>3.211</sup> <u>潘圣平</u><sup>8.323</sup> 自己 <span class='target'>开球</span> <u>进</u><sup>2.576</sup> <u>球</u><sup>3.89</sup> , 邹明德 <u>抓住</u><sup>1.911</sup> <u>机会</u><sup>2.059</sup> <u>连</u><sup>2.288</sup> <u>下</u><sup>1.54</sup> 三 <u>局</u><sup>3.649</sup> <small>, 形成 五 十 落后 , 可惜 第十六 局 开球</small>""",2.96377121930774,5.67799065932305,NA,NA
开赛/N/CNA_CMN_20000601_wpr/66919,开赛/N/CNA_CMN_20000601_wpr/66919,开赛,CNA,Taiwan,quality,分/N;节/N;第二/N;领先/V;三十七/N;尼克队/N;领先/V;不久/N,"""<small>命中率 压低 百分之二十七 , 仅 获 十七 分 , 而</small> 取得 <u>领先</u><sup>2.923</sup> 十五 <u>分</u><sup>1.282</sup> 的 大好 局面 。 <u>第二</u><sup>1.546</sup> <u>节</u><sup>2.001</sup> <span class='target'>开赛</span> <u>不久</u><sup>2.274</sup> , <u>尼克队</u><sup>3.566</sup> 取得 <u>三十七</u><sup>1.015</sup> 十九 <u>领先</u><sup>2.923</sup> 之后 熄火 , <small>熘马队 一 波 二十三 三 的 攻势 大逆 转 。</small>""",2.16685184078384,5.21496186307854,NA,NA
开赛/N/XIN_CMN_19940708_wpr/6250,开赛/N/XIN_CMN_19940708_wpr/6250,开赛,XIN,Mainland,quality,天才/N;巴西/N;场/N;队/N;以来/N;伤/N;折/V,"""<small>, 克住 西班牙队 的 快攻 。 巴西队 荷兰队 , 是</small> 一 <u>场</u><sup>2.447</sup> <u>天才</u><sup>1.562</sup> <u>天才</u><sup>1.562</sup> 的 大 演示 。 <u>巴西</u><sup>1.209</sup> <u>队</u><sup>2.32</sup> <span class='target'>开赛</span> <u>以来</u><sup>2.798</sup> <u>折</u><sup>2.126</sup> , 戈麦斯 、 罗查 、 莱昂纳多 的 <u>伤</u><sup>1.535</sup> <small>因 罚 攻 强守弱 的 巴西队 是 雪上加霜 , 两</small>""",-0.630768361982336,3.58704411536433,NA,NA
开赛/N/XIN_CMN_19940814_wpr/5145,开赛/N/XIN_CMN_19940814_wpr/5145,开赛,XIN,Mainland,quality,天/N;比赛/N,"""<small>’ 94 全国 大学生 “ 莱斯康 ” 杯 橄榄球 联赛</small> , 今 <u>天</u><sup>1.431</sup> 北京 大学 和 北京 农业 大学 同时 <span class='target'>开赛</span> 。 参加 这 次 <u>比赛</u><sup>2.626</sup> 的 有 抚顺 石油 学院 <small>、 清华大学 等 高校 的 17 支 橄榄球队 。 同时</small>""",0.778448281237287,0.505311603809717,NA,NA
开赛/N/CNA_CMN_19931018_wpr/9315,开赛/N/CNA_CMN_19931018_wpr/9315,开赛,CNA,Taiwan,quality,球场/N;扬昇/N;夫/D;联谊赛/N;成绩/N;比赛/N,"""<small>扬昇 高尔夫 俱乐部 协办 的 第一 届 阳光 会员盃 高尔</small> <u>夫</u><sup>1.326</sup> <u>联谊赛</u><sup>3.447</sup> , 订 十月 二十日 上午 杨梅 <u>扬昇</u><sup>3.266</sup> <u>球场</u><sup>2.912</sup> <span class='target'>开赛</span> 。 这 项 <u>比赛</u><sup>2.626</sup> 的 <u>成绩</u><sup>1.264</sup> 新贝利亚制 计算 , 就是 <small>十八 洞 中 抽取 其中 十二 洞 的 成绩 计算</small>""",1.80446902220762,-3.7454970040776,7,out
开球/N/XIN_CMN_20010312_wpr/89029,开球/N/XIN_CMN_20010312_wpr/89029,开球,XIN,Mainland,quality,分钟/N;开赛/N;球/N,"""<small>请 赛 首 场 比赛 中 1 : 2 负于</small> 丹麦队 。 <u>开赛</u><sup>3.113</sup> 5 <u>分钟</u><sup>1.732</sup> , 中国队 浦玮 对方 守门员 <span class='target'>开球</span> 失误 的 情 下 捡 漏 攻入 一 <u>球</u><sup>3.332</sup> , <small>之后 中国队 上半场 始终 占据 优势 , 控球 时间 多于</small>""",0.935841175902557,5.98484853248657,NA,NA
