0.011198294,No.,Variety,Item,Causation,Cr,CrLocus,CrSynt,CrSem,CrPers,CrDef,CrIntent,ModalVerb,CseModality,CseAdverb,CseAdv,CseNeg,Ce,CeSynt,CeSem,CePers,CeDef,CeControl,CeRole,CsedModalVerb,CsedModality,CsedAdverb,CsedAdv,CsedNeg,CrCeCoref,Pred,PredSynt,PredSem,CsedProsody,CsedSemS,CsedSemT,Structure,ClauseType
0.690526087,1558,tw,rang,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,相容,intrans,state,pstv,social,social,sg,advbl
0.098226832,1829,tw,rang,yes,NA,implicit,na,na,na,na,intent,要,incl,NA,none,no,直航,np,event,3,indef,no,theme,NA,none,NA,none,no,no,發揮,trans,atelic,ntrl,social,social,sg,advbl
0.491344449,43,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,NA,none,no,no,接任,trans,telic,ntrl,social,social,sg,advbl
0.373642138,17,tw,shi,yes,部分非執政縣市長,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,緬懷,trans,state,ntrl,social,social,sg,advbl
0.899980603,42,tw,rang,yes,交通部觀光局,distant,na,na,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,能够,ability,NA,none,no,no,體驗,trans,atelic,pstv,phy,phy,sg,advbl
0.620868792,46,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,瞭解,trans,telic,pstv,ment,social,sg,advbl
0.553819149,108,ml,shi,yes,欧盟,distant,cl,event,3,def,intent,NA,none,NA,none,no,中东地区,np,anim,3,def,no,befry,NA,none,NA,none,no,no,摆脱,trans,telic,pstv,social,social,sg,advbl
0.151555895,124,ml,shi,yes,NA,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,event,3,def,no,theme,NA,none,NA,none,no,no,迎来了,trans,telic,pstv,phy,social,sg,advbl
0.713924842,91,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,能够,ability,NA,none,no,no,展現出,trans,telic,pstv,phy,phy,sg,advbl
0.904111238,133,ml,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,expcer,不要,incl,NA,none,yes,no,忘记,trans,telic,ntrl,ment,social,sg,advbl
0.838820544,238,ml,shi,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,人们,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,获得,trans,telic,pstv,social,social,sg,advbl
0.785219824,190,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,更方便,manner,no,no,买票,trans,atelic,ntrl,social,social,sg,advbl
0.732008615,54,ml,ling,yes,NA,distant,cl,event,na,na,unintent,NA,none,NA,none,no,NA,ren,anim,3,indef,no,expcer,NA,none,NA,none,no,no,惊讶,adj,state,ntrl,ment,ment,sg,advbl
0.228786811,536,sg,ling,yes,NA,distant,cl,event,na,na,unintent,NA,none,NA,none,no,NA,ren,anim,3,indef,no,expcer,NA,none,NA,none,no,no,意外,adj,state,ntrl,ment,ment,sg,advbl
0.441544031,512,sg,rang,yes,NA,adjacent,np,anim,3,def,unintent,NA,none,NA,none,yes,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,升值,intrans,atelic,ntrl,social,social,sg,advbl
0.957547619,220,tw,rang,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,貶值,intrans,atelic,ntrl,social,social,sg,advbl
0.71375424,161,sg,shi,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,有,trans,telic,pstv,social,social,sg,advbl
0.390435194,386,sg,ling,yes,美国的经济数据,distant,cl,inanim,3,def,unintent,NA,none,NA,none,yes,NA,ren,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,相信,trans,state,ntrl,ment,ment,sg,advbl
0.200340168,284,ml,shi,yes,与会代表,distant,cl,event,3,indef,intent,NA,none,NA,none,no,今后的欧盟宪法,np,inanim,3,indef,no,theme,NA,none,最,degree,no,no,具,trans,state,pstv,social,social,sg,advbl
0.178622397,547,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,pron,anim,3,def,yes,agent,NA,none,NA,none,no,no,长相厮守,idiom,state,pstv,phy,social,sg,advbl
0.802816447,758,sg,rang,yes,NA,implicit,vp,event,na,na,intent,NA,none,NA,none,no,NA,pron,anim,3,def,yes,expcer,NA,none,NA,none,no,no,了解,trans,telic,pstv,ment,social,sg,advbl
0.685402066,815,sg,rang,yes,NA,distant,cl,event,1,def,intent,能,ability,NA,none,no,NA,pron,anim,3,def,yes,agent,NA,none,NA,none,no,no,完成,trans,telic,pstv,social,social,sg,advbl
0.042680393,842,sg,rang,yes,NA,implicit,na,na,na,na,intent,要,incl,NA,none,no,NA,pron,anim,3,indef,yes,agent,NA,none,NA,none,no,no,改过自新,idiom,telic,pstv,social,social,sg,advbl
0.089910783,890,sg,rang,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,pron,anim,3,indef,yes,agent,能,ability,日夜,time,no,no,赌,intrans,atelic,ntrl,social,social,sg,advbl
0.554810484,336,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,pron,anim,3,def,no,befry,不会,poss,NA,none,yes,no,失去,trans,telic,neg,phy,ment,sg,advbl
0.935590895,191,sg,shi,yes,默哈末阿敏,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,pron,anim,3,def,yes,agent,NA,none,NA,none,no,no,学习到,trans,telic,pstv,ment,ment,sg,advbl
0.664123254,664,sg,rang,yes,NA,implicit,cl,event,na,na,unintent,会,poss,NA,none,no,NA,pron,anim,3,indef,no,expcer,NA,none,更,degree,no,no,自卑,adj,state,neg,ment,ment,sg,advbl
0.199287901,374,ml,shi,yes,国际社会,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,befry,NA,none,尽早,time,no,no,过上,trans,telic,pstv,social,social,sg,advbl
0.64885052,280,sg,shi,yes,NA,implicit,na,na,na,na,unintent,NA,none,NA,none,yes,NA,np,anim,3,def,no,patient,NA,none,NA,none,no,no,变成,copula,telic,neg,phy,social,sg,advbl
0.097345365,365,ml,shi,yes,其他国家,distant,np,anim,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,恢复,trans,telic,pstv,social,social,sg,advbl
0.973409239,282,sg,shi,yes,小组,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,befry,NA,none,NA,none,no,no,有,trans,telic,pstv,phy,social,sg,advbl
0.655210653,288,sg,shi,yes,他,distant,cl,event,3,def,unintent,NA,none,NA,none,yes,NA,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,恶化,intrans,atelic,neg,phy,phy,sg,advbl
0.369895755,945,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,知道,trans,telic,pstv,ment,ment,sg,advbl
0.504674861,1090,sg,rang,yes,NA,distant,np,anim,3,def,intent,NA,none,NA,none,yes,NA,pron,anim,2,def,yes,expcer,NA,none,NA,none,no,no,看,trans,telic,ntrl,phy,phy,sg,advbl
0.70447687,400,tw,rang,yes,NA,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,體驗,trans,atelic,pstv,ment,ment,sg,advbl
0.009328971,402,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,瞭解,trans,telic,ntrl,ment,social,sg,advbl
0.809152444,309,sg,shi,yes,日本政府,distant,cl,event,3,def,intent,NA,none,终于,time,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,倾斜,intrans,telic,ntrl,phy,social,sg,advbl
0.4043471,317,sg,shi,yes,NA,implicit,cl,event,na,na,unintent,NA,none,NA,none,yes,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,赖账,intrans,atelic,neg,social,social,sg,advbl
0.898680905,123,tw,shi,yes,編舞家劉鳳學,distant,cl,event,3,def,intent,NA,none,终于,time,no,僅存於世的四首唐大曲「皇帝破陣樂」、「春鶯囀」、「蘇合香」及「團亂旋」,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,重见天日,idiom,telic,pstv,phy,social,sg,advbl
0.839939264,1156,sg,rang,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,读书,intrans,atelic,ntrl,phy,social,mul,advbl
0.306744637,412,ml,shi,yes,有关部门,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,流传,intrans,atelic,pstv,social,social,sg,advbl
0.95274574,1168,sg,rang,yes,NA,distant,na,na,3,def,unintent,不会,poss,NA,none,yes,NA,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,无所适从,idiom,state,neg,ment,social,mul,advbl
0.562518244,464,tw,rang,yes,NA,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,能够,ability,NA,none,no,no,相認,intrans,telic,ntrl,social,social,sg,advbl
0.140674685,467,tw,rang,yes,NA,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,def,no,agent,無法,ability,順利,manner,yes,no,完成,trans,telic,neg,social,social,sg,advbl
0.030792359,344,sg,shi,yes,他,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,patient,NA,none,进一步,degree,no,no,增长,intrans,atelic,pstv,phy,social,sg,advbl
0.922704564,439,ml,shi,yes,双方,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,event,3,def,no,theme,NA,none,NA,none,no,no,取得,trans,telic,pstv,phy,social,sg,advbl
