0.011198294,No.,Variety,Item,Causation,CrLocus,CrSynt,CrSem,CrPers,CrDef,CrIntent,ModalVerb,CseModality,CseAdverb,CseAdv,CseNeg,CeSynt,CeSem,CePers,CeDef,CeControl,CeRole,CsedModalVerb,CsedModality,CsedAdverb,CsedAdv,CsedNeg,CrCeCoref,Pred,PredSynt,PredSem,CsedProsody,CsedSemS,CsedSemT,Structure,ClauseType
0.690526087,1558,tw,rang,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,_??,intrans,state,pstv,social,social,sg,advbl
0.098226832,1829,tw,rang,yes,implicit,na,na,na,na,intent,??,incl,NA,none,no,np,event,3,indef,no,theme,NA,none,NA,none,no,no,_??_,trans,atelic,ntrl,social,social,sg,advbl
0.491344449,43,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,NA,none,no,no,_????,trans,telic,ntrl,social,social,sg,advbl
0.373642138,17,tw,shi,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,??_,trans,state,ntrl,social,social,sg,advbl
0.899980603,42,tw,rang,yes,distant,na,na,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,_??,ability,NA,none,no,no,??__,trans,atelic,pstv,phy,phy,sg,advbl
0.620868792,46,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,_??,trans,telic,pstv,ment,social,sg,advbl
0.553819149,108,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,befry,NA,none,NA,none,no,no,___,trans,telic,pstv,social,social,sg,advbl
0.151555895,124,ml,shi,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,event,3,def,no,theme,NA,none,NA,none,no,no,??__??,trans,telic,pstv,phy,social,sg,advbl
0.713924842,91,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,_??,ability,NA,none,no,no,??___,trans,telic,pstv,phy,phy,sg,advbl
0.904111238,133,ml,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,expcer,??_,incl,NA,none,yes,no,??_,trans,telic,ntrl,ment,social,sg,advbl
0.838820544,238,ml,shi,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_??_,trans,telic,pstv,social,social,sg,advbl
0.785219824,190,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,_??_??,manner,no,no,??????,trans,atelic,ntrl,social,social,sg,advbl
0.441544031,512,sg,rang,yes,adjacent,np,anim,3,def,unintent,NA,none,NA,none,yes,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,__,intrans,atelic,ntrl,social,social,sg,advbl
0.957547619,220,tw,rang,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,????,intrans,atelic,ntrl,social,social,sg,advbl
0.71375424,161,sg,shi,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_,trans,telic,pstv,social,social,sg,advbl
0.200340168,284,ml,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,inanim,3,indef,no,theme,NA,none,_,degree,no,no,_,trans,state,pstv,social,social,sg,advbl
